"gene","celltype","sample","mean_logexpr","pct_expr"
"Cldn5","Astrocytes","Sample1",0,0
"Ocln","Astrocytes","Sample1",0.0644,0.039
"Tjp1","Astrocytes","Sample1",1.4664,0.6809
"Jam2","Astrocytes","Sample1",0.4381,0.2624
"Cgn","Astrocytes","Sample1",0,0
"Esam","Astrocytes","Sample1",0.0058,0.0035
"Mfsd2a","Astrocytes","Sample1",0.0333,0.0248
"Plvap","Astrocytes","Sample1",0.0095,0.0071
"Cav1","Astrocytes","Sample1",0.0399,0.0177
"Slc2a1","Astrocytes","Sample1",0.0644,0.0426
"Abcb1a","Astrocytes","Sample1",0.0533,0.0284
"Abcg2","Astrocytes","Sample1",0.0992,0.0532
"Slco1a4","Astrocytes","Sample1",0.0392,0.0177
"Vcam1","Astrocytes","Sample1",0.1187,0.0709
"Icam1","Astrocytes","Sample1",0.0185,0.0071
"Vwf","Astrocytes","Sample1",0,0
"Angpt2","Astrocytes","Sample1",0.038,0.0213
"Pdgfrb","Astrocytes","Sample1",0.4083,0.227
"Rgs5","Astrocytes","Sample1",0,0
"Kcnj8","Astrocytes","Sample1",0,0
"Anpep","Astrocytes","Sample1",0.0806,0.0426
"Vtn","Astrocytes","Sample1",0.0944,0.039
"Notch3","Astrocytes","Sample1",0.1765,0.1099
"Aqp4","Astrocytes","Sample1",0.5132,0.3085
"Gja1","Astrocytes","Sample1",0.675,0.3794
"Cldn5","Choroid plexus","Sample1",0,0
"Ocln","Choroid plexus","Sample1",0.4429,0.3409
"Tjp1","Choroid plexus","Sample1",0.4563,0.3409
"Jam2","Choroid plexus","Sample1",0.037,0.0227
"Cgn","Choroid plexus","Sample1",0.195,0.1591
"Esam","Choroid plexus","Sample1",0,0
"Mfsd2a","Choroid plexus","Sample1",0,0
"Plvap","Choroid plexus","Sample1",0.0262,0.0227
"Cav1","Choroid plexus","Sample1",0,0
"Slc2a1","Choroid plexus","Sample1",0.1345,0.1136
"Abcb1a","Choroid plexus","Sample1",0,0
"Abcg2","Choroid plexus","Sample1",0.0459,0.0227
"Slco1a4","Choroid plexus","Sample1",1.301,0.7273
"Vcam1","Choroid plexus","Sample1",0.3437,0.25
"Icam1","Choroid plexus","Sample1",0,0
"Vwf","Choroid plexus","Sample1",0,0
"Angpt2","Choroid plexus","Sample1",0,0
"Pdgfrb","Choroid plexus","Sample1",0,0
"Rgs5","Choroid plexus","Sample1",0,0
"Kcnj8","Choroid plexus","Sample1",0,0
"Anpep","Choroid plexus","Sample1",0,0
"Vtn","Choroid plexus","Sample1",0,0
"Notch3","Choroid plexus","Sample1",0.0516,0.0455
"Aqp4","Choroid plexus","Sample1",0.0234,0.0227
"Gja1","Choroid plexus","Sample1",0,0
"Cldn5","Endothelial","Sample1",0.3483,0.1579
"Ocln","Endothelial","Sample1",0.4591,0.2281
"Tjp1","Endothelial","Sample1",2.3701,0.7544
"Jam2","Endothelial","Sample1",0.5724,0.2807
"Cgn","Endothelial","Sample1",0,0
"Esam","Endothelial","Sample1",0.4036,0.193
"Mfsd2a","Endothelial","Sample1",0.1217,0.0526
"Plvap","Endothelial","Sample1",0,0
"Cav1","Endothelial","Sample1",0.594,0.2456
"Slc2a1","Endothelial","Sample1",1.3131,0.5088
"Abcb1a","Endothelial","Sample1",1.9448,0.6842
"Abcg2","Endothelial","Sample1",1.5636,0.5789
"Slco1a4","Endothelial","Sample1",3.1045,0.8421
"Vcam1","Endothelial","Sample1",0.3049,0.1053
"Icam1","Endothelial","Sample1",0.0481,0.0175
"Vwf","Endothelial","Sample1",1.2717,0.4561
"Angpt2","Endothelial","Sample1",0.0637,0.0351
"Pdgfrb","Endothelial","Sample1",0.1349,0.0526
"Rgs5","Endothelial","Sample1",0.3467,0.1228
"Kcnj8","Endothelial","Sample1",0.0655,0.0351
"Anpep","Endothelial","Sample1",0.0316,0.0175
"Vtn","Endothelial","Sample1",0.1126,0.0526
"Notch3","Endothelial","Sample1",0.1139,0.0526
"Aqp4","Endothelial","Sample1",0,0
"Gja1","Endothelial","Sample1",0,0
"Cldn5","Ependymal","Sample1",0,0
"Ocln","Ependymal","Sample1",0.324,0.1905
"Tjp1","Ependymal","Sample1",0.7112,0.381
"Jam2","Ependymal","Sample1",0.0141,0.0476
"Cgn","Ependymal","Sample1",0,0
"Esam","Ependymal","Sample1",0,0
"Mfsd2a","Ependymal","Sample1",0,0
"Plvap","Ependymal","Sample1",0,0
"Cav1","Ependymal","Sample1",0,0
"Slc2a1","Ependymal","Sample1",0.0756,0.0476
"Abcb1a","Ependymal","Sample1",0,0
"Abcg2","Ependymal","Sample1",0.1463,0.0952
"Slco1a4","Ependymal","Sample1",0,0
"Vcam1","Ependymal","Sample1",0,0
"Icam1","Ependymal","Sample1",0,0
"Vwf","Ependymal","Sample1",0.0674,0.0476
"Angpt2","Ependymal","Sample1",0,0
"Pdgfrb","Ependymal","Sample1",0,0
"Rgs5","Ependymal","Sample1",0,0
"Kcnj8","Ependymal","Sample1",0,0
"Anpep","Ependymal","Sample1",0,0
"Vtn","Ependymal","Sample1",0,0
"Notch3","Ependymal","Sample1",0,0
"Aqp4","Ependymal","Sample1",0.4375,0.2381
"Gja1","Ependymal","Sample1",0.6526,0.381
"Cldn5","Excitatory neurons","Sample1",3e-04,6e-04
"Ocln","Excitatory neurons","Sample1",0.0221,0.0291
"Tjp1","Excitatory neurons","Sample1",1.4737,0.925
"Jam2","Excitatory neurons","Sample1",0.0628,0.0812
"Cgn","Excitatory neurons","Sample1",0.0229,0.0325
"Esam","Excitatory neurons","Sample1",0.0105,0.0146
"Mfsd2a","Excitatory neurons","Sample1",0.0059,0.0078
"Plvap","Excitatory neurons","Sample1",0.0296,0.0442
"Cav1","Excitatory neurons","Sample1",0.0048,0.0062
"Slc2a1","Excitatory neurons","Sample1",0.0281,0.0426
"Abcb1a","Excitatory neurons","Sample1",0.0027,0.0039
"Abcg2","Excitatory neurons","Sample1",0.0431,0.0638
