"gene","celltype","Sample1","Sample2","delta_S2_minus_S1"
"Tjp1","Endothelial",2.3701,2.8967,0.5266
"Esam","Endothelial",0.4036,0.7955,0.3919
"Slco1a4","Endothelial",3.1045,3.4742,0.3697
"Slc2a1","Endothelial",1.3131,1.6103,0.2972
"Rgs5","Endothelial",0.3467,0.6401,0.2934
"Vwf","Endothelial",1.2717,1.0087,-0.263
"Abcg2","Endothelial",1.5636,1.8215,0.2579
"Ocln","Endothelial",0.4591,0.712,0.2529
"Abcb1a","Endothelial",1.9448,2.1843,0.2395
"Cldn5","Endothelial",0.3483,0.523,0.1747
"Cav1","Endothelial",0.594,0.4453,-0.1487
"Aqp4","Endothelial",0,0.1008,0.1008
"Jam2","Endothelial",0.5724,0.6436,0.0712
"Vcam1","Endothelial",0.3049,0.3739,0.069
"Kcnj8","Endothelial",0.0655,0,-0.0655
"Gja1","Endothelial",0,0.0583,0.0583
"Vtn","Endothelial",0.1126,0.1656,0.053
"Angpt2","Endothelial",0.0637,0.0219,-0.0418
"Mfsd2a","Endothelial",0.1217,0.1564,0.0347
"Notch3","Endothelial",0.1139,0.099,-0.0149
"Pdgfrb","Endothelial",0.1349,0.1497,0.0148
"Anpep","Endothelial",0.0316,0.0442,0.0126
"Icam1","Endothelial",0.0481,0.0484,3e-04
"Cgn","Endothelial",0,0,0
"Plvap","Endothelial",0,0,0
"Tjp1","Pericytes",0.8769,1.4141,0.5372
"Rgs5","Pericytes",1.5194,1.2114,-0.308
"Abcg2","Pericytes",0.1522,0.3339,0.1817
"Vtn","Pericytes",1.7014,1.5767,-0.1247
"Notch3","Pericytes",2.3447,2.2275,-0.1172
"Esam","Pericytes",0.1571,0.2679,0.1108
"Abcb1a","Pericytes",0.106,0,-0.106
"Slco1a4","Pericytes",0.1596,0.0581,-0.1015
"Cav1","Pericytes",0.0932,0,-0.0932
"Pdgfrb","Pericytes",2.2034,2.129,-0.0744
"Slc2a1","Pericytes",0,0.0611,0.0611
"Cldn5","Pericytes",0.0496,0,-0.0496
"Mfsd2a","Pericytes",0.0496,0,-0.0496
"Vwf","Pericytes",0.0496,0,-0.0496
"Angpt2","Pericytes",0,0.0449,0.0449
"Aqp4","Pericytes",0,0.044,0.044
"Kcnj8","Pericytes",0.2213,0.1947,-0.0266
"Anpep","Pericytes",0.2331,0.2574,0.0243
"Ocln","Pericytes",0,0,0
"Jam2","Pericytes",0,0,0
"Cgn","Pericytes",0,0,0
"Plvap","Pericytes",0,0,0
"Vcam1","Pericytes",0,0,0
"Icam1","Pericytes",0,0,0
"Gja1","Pericytes",0,0,0
