"gene","avg_log2FC","pct.1","pct.2","p_val","p_val_adj"
"Aqp4",4.68548533822233,0.043,0,0.115337207264456,1
"Gja1",3.43353808861122,0.032,0,0.174743731512425,1
"Rgs5",1.36909193308334,0.194,0.123,0.210319305208973,1
"Vtn",1.29604587966627,0.065,0.053,0.756239387255278,1
"Esam",1.01646729619194,0.344,0.193,0.0324086531544902,1
"Cldn5",1.00361334126667,0.215,0.158,0.333955683396361,1
"Ocln",0.820228033354268,0.323,0.228,0.179028009253542,1
"Anpep",0.630981439785024,0.022,0.018,0.873148173909776,1
"Mfsd2a",0.477646750867592,0.065,0.053,0.756239387255278,1
"Slc2a1",0.317818108853837,0.624,0.509,0.236811985505627,1
"Tjp1",0.263805189330297,0.925,0.754,0.0369843018300615,1
"Slco1a4",0.246145808140437,0.925,0.842,0.128350928056395,1
"Abcg2",0.193482818265168,0.699,0.579,0.341497990621614,1
"Jam2",0.142790715216004,0.301,0.281,0.719909098805783,1
"Pdgfrb",0.102211098581194,0.065,0.053,0.79950918057836,1
"Abcb1a",0.0665063242220709,0.763,0.684,0.372780302509247,1
"Vwf",-0.426361877530201,0.387,0.456,0.301288580453712,1
"Icam1",-0.489772731052604,0.022,0.018,0.885741443458071,1
"Notch3",-0.547248806806609,0.054,0.053,0.984133449817128,1
"Cgn",-0.706268796943289,0,0,1,1
"Plvap",-0.706268796943289,0,0,1,1
"Cav1",-0.774684455886269,0.204,0.246,0.441799839918324,1
"Vcam1",-1.08598360689607,0.161,0.105,0.3757874875418,1
"Angpt2",-1.26616735854083,0.011,0.035,0.314481042595519,1
"Kcnj8",-4.28395127034721,0,0.035,0.0714308645910583,1
