"","Excitatory neurons","Inhibitory neurons","Astrocytes","Oligodendrocytes","OPC","Microglia","Endothelial","Pericytes","Ependymal","Choroid plexus"
"g0",0.794,1.192,0.0336,0.158,0.0122,0.0253,0.0127,0.0049,0.0033,0.024
"g1",1.8343,1.5167,0.0464,0.3899,0.032,0.0271,0.0028,0.0036,0.0018,0.0248
"g2",0.1804,0.5129,0.389,17.8037,0.0341,0.0205,0.0245,0.0032,0.0176,0.0676
"g3",2.9397,0.0331,0.0165,0.1906,0.0097,0.021,0.0033,0.0077,0.0012,0.0117
"g4",2.4801,0.0438,0.0517,0.1562,0.0154,0.014,0.0034,0.0069,0.001,0.0229
"g5",0.2346,1.4952,5.1915,0.228,0.0191,0.06,0.0061,0.4219,0.004,0.0459
"g6",0.8939,0.0718,0.02,0.1023,0.0051,0.0178,0.0085,0.0074,0.0014,0.0143
"g7",2.0655,0.0365,0.0253,0.1654,0.0114,0.018,0.0078,0.0046,0.001,0.0176
"g8",3.2223,0.0461,0.0233,0.1591,0.0087,0.0243,0.005,0.0067,0.0012,0.0085
"g9",1.4242,2.4848,0.0314,0.0968,0.0045,0.0205,0.0046,0.0078,0,0.0205
"g10",2.7387,0.2384,0.1606,0.2926,0.0076,0.0364,0.0098,0.0081,0.0018,0.0153
"g11",0.1673,0.8903,0.6426,1.0334,4.2874,0.0903,0.0416,0.0102,0.0056,0.051
"g12",0.3419,0.1027,0.5143,0.4316,0.0881,4.3841,0.1727,0.0688,0,0.2084
"g13",1.96,0.0529,0.0184,0.0926,0.0069,0.0201,0.0057,0.0086,0,0.0285
"g14",0.2934,0.1593,0.2681,1.2134,0.1423,0.0665,3.2415,1.8639,0,0.1584
"g15",2.2407,3.7004,0.0364,0.0835,0.021,0.0241,0.0052,0.0053,0,0.0116
"g16",1.0853,2.1234,0.0253,0.2363,0.0038,0.0125,0.0108,0.007,0,0.0288
"g17",2.5101,1.1948,0.2561,0.2253,0.0847,0.0302,0,0.0724,0,0.0218
"g18",3.4699,0.0308,0.0143,0.1256,0.0056,0.0034,0.0056,0.003,0,0.0106
"g19",2.5434,0.0228,0.0331,0.1647,0.0217,0.0186,0.0054,0.0137,0,0.04
"g20",2.1554,0.0527,0.0348,0.2372,0.0244,0.022,0.0024,0.0042,0,0.0085
"g21",0.2056,0.7227,2.6566,0.3768,1.4222,0.0569,0.1683,1.0973,0,0.2593
"g22",0.3571,0.2442,0.0849,0.3317,2.4406,0,0.088,8.2325,0,0.1518
"g23",0.0708,0.1136,0.0051,0.1563,0.0671,0.1251,0,0,0.1794,19.8129
"g24",1.689,1.8399,0.0272,0.1992,0.0038,0.0223,0.0058,0.0036,0.0073,0.0245
"g25",3.1424,0.046,0.0181,0.1391,0.0285,0.0137,0.0046,0,0,0.0299
"g26",0.6895,0.1027,0.0217,0.149,0.0088,0.0169,0.0352,0,0.0224,0.2703
"g27",0.1912,0.6011,1.9471,8.9187,0.1057,1.0094,0.078,0.2102,0,0.0408
"g28",0.5955,2.796,0.0174,0.0711,0.0111,0.0217,0.0152,0.0474,0,0.0131
"g29",0.4398,0.3137,0.9477,0.2472,0,0.398,0,0,1.446,0.177
"g30",0.2348,0.5052,0.016,0.0526,0.0492,0.0074,0.0106,0.0069,0.0107,0.0139
"g31",0.1164,0.0904,0.1408,0.0656,0,0,0,0.0847,0,0
