"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype"
1.70257309957038e-28,-11.0592643539675,0,0.34,3.77886099449645e-24,"Xist","Astrocytes"
2.92230529110411e-21,-1.72304979888811,0.318,0.656,6.48605659360558e-17,"Rgl1","Astrocytes"
2.27137464691761e-15,1.35200846048559,0.659,0.401,5.04131602883364e-11,"Dab1","Astrocytes"
3.54968843512415e-15,1.18549327105985,0.725,0.45,7.87853348175806e-11,"Ctnna2","Astrocytes"
3.90961348230834e-15,-1.37400163018473,0.298,0.603,8.67738712398336e-11,"Plce1","Astrocytes"
4.35858174699782e-13,1.18669301359367,0.698,0.496,9.67387218746166e-09,"Gnao1","Astrocytes"
7.77542197163929e-13,0.751614983864935,0.892,0.823,1.72575490660534e-08,"Slc1a3","Astrocytes"
1.19387996575714e-12,-1.36686196810879,0.367,0.599,2.64981658399797e-08,"Lrig1","Astrocytes"
6.42364190601909e-12,-0.94709410773041,0.446,0.716,1.42572732104094e-07,"Lhfp","Astrocytes"
8.48734927851635e-12,0.778092718401315,0.682,0.404,1.8837671723667e-07,"Csmd1","Astrocytes"
9.37696467881386e-12,-1.13554565527317,0.446,0.66,2.08121731046274e-07,"Erbb4","Astrocytes"
1.69806032139426e-11,1.39336576140426,0.456,0.202,3.76884488333455e-07,"Fam13c","Astrocytes"
1.77793791746905e-11,0.839347347611581,0.731,0.546,3.94613320782255e-07,"Dclk1","Astrocytes"
2.80552754532437e-11,-1.61203256833959,0.131,0.369,6.22686838684743e-07,"B230323A14Rik","Astrocytes"
2.80844486306822e-11,0.783614575850116,0.826,0.777,6.23334337357991e-07,"Slc1a2","Astrocytes"
1.06304893932361e-10,0.960653317543407,0.669,0.44,2.35943712082875e-06,"Rgs7","Astrocytes"
1.32035507511202e-10,1.02080700002125,0.725,0.578,2.93052808921112e-06,"Mertk","Astrocytes"
2.97869292330801e-10,1.17733379624308,0.416,0.17,6.61120894328213e-06,"Ephb1","Astrocytes"
3.06026002824858e-10,1.42411933646181,0.38,0.149,6.79224713269773e-06,"Gm5089","Astrocytes"
3.09006252185873e-10,1.47722412250682,0.43,0.191,6.85839376726546e-06,"Grip1","Astrocytes"
7.30073461830492e-10,-0.539970239484508,0.859,0.911,1.62039804853278e-05,"Trpm3","Astrocytes"
7.3907253843563e-10,0.861617898330535,0.475,0.206,1.64037149905788e-05,"Adam23","Astrocytes"
1.85723980211118e-09,1.50729724466785,0.403,0.191,4.12214374078577e-05,"Dcc","Astrocytes"
2.06249857205045e-09,-0.861024454055979,0.603,0.752,4.57771558066597e-05,"Kcnd2","Astrocytes"
3.11871963438998e-09,0.687142769575046,0.846,0.755,6.92199822852857e-05,"Prex2","Astrocytes"
