"","Astrocytes","Choroid plexus","Endothelial","Ependymal","Excitatory neurons","Inhibitory neurons","Microglia","Oligodendrocytes","OPC","Pericytes"
"Xist",-11.0592643539675,-5.72215510768365,-9.50819052615476,-5.56687326631657,-10.1321924385746,-11.6602799482098,-8.86636387658451,-11.4335708772797,-8.94854200442997,-8.46618959140696
"Rgl1",-1.72304979888811,-0.739694539735481,0,-0.384696759903098,-0.414751399264927,-0.970062742038502,-0.979233140376363,0,-0.836183675085502,-0.371731352788272
"B230323A14Rik",-1.61203256833959,0,0,0,0,0,0,0,0,0
"Emx2os",1.58882230015462,0,0,0,0,0,0,0,0.670106171505039,0
"Lama3",2.40919515014283,0,-0.490840022527524,-2.37498697354455,0,1.23565331526142,0,0,0,0
"C4b",-2.41705425731223,0,0,0,0,0,0,-4.31401048969005,0,0
"Swap70",1.53544432853751,0.617936865625337,0,0,0,0,0.601308403388062,0,-1.10796157119926,0
"Galnt10",-1.95988259460909,-1.62688414592006,0,0,0,0,-0.410296853519099,0,0.430257596081606,0
"Tmem117",-1.11454080398696,-2.4529146687387,0,-0.847946947165724,0,0,0,-0.387930511090839,-1.87990499968509,0
"mt-Atp6",1.17655711294665,-0.33226677208367,0,1.0060177641741,0.680320906300823,1.27972890064458,-0.658427740957047,2.0093971507028,0.817514082926683,-0.43855090542986
"Ctnna3",-0.648693517605669,0,0.588777646138277,0,-0.267992133497709,-0.308777664430796,-10.9787734496675,0,-0.384943381755756,0
"Cdh8",1.01675843164772,1.61567982034444,-1.0954009146124,-1.46759676389329,0,0,-1.53508237046387,-2.4987069968317,-0.820689555179362,0
"Acaca",-0.366209471843737,-0.302019642103975,-0.601053634867739,1.27427923675042,0,0,-2.9840365321874,0,0,0.358454635571051
"Lef1",0.956573665496669,0,0,0,-1.92226521290448,-2.43146620995785,0,0,0,1.86003413039447
"Egfr",-0.276764829111112,0,0,0,0,2.50970474728129,0,0,0,-2.6581271025307
"Rai14",0.72653084532506,-0.307561782811652,-0.27030412675176,0,0.293344045049589,0,-7.47569817786225,0,0,0
"Vangl1",0,4.28504067925268,0,-1.95972167333236,-1.72684813401735,0,0,0,0,0
"Gt(ROSA)26Sor",0,-4.41571986586109,0,-2.12250363057276,-3.94978491969432,-4.26957098983085,0,0,0,0
"Pde5a",0,-3.01019859882435,0,0,0,2.10386832084753,0,0,0,-0.63859424635576
"Maf",0,-0.871481583869129,0,0,0,1.76216484590178,0,0,-1.83162201003332,0
"Tob1",0,-0.27866551846831,0,-3.15711513904546,-0.766454857208901,-1.72408605948983,0,0,0,0
"Csf1",0,0,-1.80896680905978,-0.791374977702732,0,0,-5.85992523730076,-0.707070355316334,0,0
"Myo1e",0,0,-0.991560296361987,-0.264706350800903,0,1.39153794159331,-3.24581245159383,0,0,0.804094273250237
"Ank",0,0,-0.681442002608872,1.27129608614865,0,0,-3.76958438896331,0,0,0
"Creb5",0,0,0,1.58282401051161,0,1.86322819853759,0.696212267807275,0.795885248869799,0,0
"Lypd6b",0,0,0,-1.97834933151763,-0.652533694118048,0,0,-2.71823514719315,0,0
"1700016P03Rik",0,0,0,0,-2.17310888952625,0,0,0,0,0
"Gm48530",0,0,0,0,-1.82973724749488,0,0,0,0,0
"C730002L08Rik",0,0,0,0,2.0485715910667,0,0,0,0,0
"Tafa4",0,0,0,0,-1.73104486762248,0,0,0,0,0
"Gm15155",0,0,0,0,0,-0.492353398783578,-7.86198203473762,0,0,0
"A530053G22Rik",0,0,0,0,0,0,0,-6.44737884210166,0,0
"AC163347.1",0,0,0,0,0,0,0,2.98983534336359,0,0
"Cacna2d4",0,0,0,0,0,0,0,2.23113011779503,0,0
