"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","celltype","direction"
"GO:0021535","cell migration in hindbrain","3/29","22/17758",5.90563351512745e-06,0.00210505575545335,0.00160798711334061,"Dab1/Ctnna2/Ephb1",3,"Astrocytes","Up"
"GO:0007409","axonogenesis","7/29","469/17758",8.08053142204118e-06,0.00210505575545335,0.00160798711334061,"Dab1/Ctnna2/Dclk1/Ephb1/Dcc/Lama3/Robo2",7,"Astrocytes","Up"
"GO:0016358","dendrite development","6/29","316/17758",1.01839312879695e-05,0.00210505575545335,0.00160798711334061,"Dab1/Ctnna2/Dclk1/Ephb1/Grip1/Prex2",6,"Astrocytes","Up"
"GO:0048813","dendrite morphogenesis","5/29","187/17758",1.18713782397554e-05,0.00210505575545335,0.00160798711334061,"Ctnna2/Dclk1/Ephb1/Grip1/Prex2",5,"Astrocytes","Up"
"GO:0001764","neuron migration","5/29","195/17758",1.45380768466963e-05,0.00210505575545335,0.00160798711334061,"Dab1/Ctnna2/Dclk1/Dcc/Gpm6a",5,"Astrocytes","Up"
"GO:0021952","central nervous system projection neuron axonogenesis","3/29","31/17758",1.7068019638811e-05,0.00210505575545335,0.00160798711334061,"Dclk1/Ephb1/Dcc",3,"Astrocytes","Up"
"GO:0021955","central nervous system neuron axonogenesis","3/29","43/17758",4.62468789998872e-05,0.00488895577998808,0.00373452240946458,"Dclk1/Ephb1/Dcc",3,"Astrocytes","Up"
"GO:0021932","hindbrain radial glia guided cell migration","2/29","15/17758",0.00026684451588468,0.0219405490838515,0.0167597081906518,"Dab1/Ctnna2",2,"Astrocytes","Up"
"GO:0098712","L-glutamate import across plasma membrane","2/29","15/17758",0.00026684451588468,0.0219405490838515,0.0167597081906518,"Slc1a3/Slc1a2",2,"Astrocytes","Up"
"GO:0009312","oligosaccharide biosynthetic process","2/29","16/17758",0.000304656346333149,0.0225445696286531,0.0172211008400949,"St6galnac5/B3galt1",2,"Astrocytes","Up"
"GO:0015810","aspartate transmembrane transport","2/29","19/17758",0.000432818007394601,0.0241233419115058,0.0184270762538814,"Slc1a3/Slc1a2",2,"Astrocytes","Up"
"GO:0021954","central nervous system neuron development","3/29","93/17758",0.000460337197812439,0.0241233419115058,0.0184270762538814,"Dclk1/Ephb1/Dcc",3,"Astrocytes","Up"
"GO:0031290","retinal ganglion cell axon guidance","2/29","20/17758",0.000480422084161199,0.0241233419115058,0.0184270762538814,"Ephb1/Robo2",2,"Astrocytes","Up"
