"","OPC","Excitatory.neurons","Pericytes","Choroid.plexus","Inhibitory.neurons","Oligodendrocytes","Astrocytes","Microglia","Ependymal","Endothelial"
"Map2",8.5534,6.284,3.0484,1.6174,8.0317,2.2629,5.5681,0.8621,3.3229,0.7767
"Ptprc",0.0904,0.0127,0,0,0.0081,0.0674,0.0422,6.1487,0,0.0656
"Ptgs2",0,0.0253,0,0,0.0038,0.0023,0,0,0,0.4168
"Atf3",0,0.0036,0,0,0.0041,0,0,0.0935,0,0.0563
"Vim",0,0.0037,0.4468,0,0.0081,0.0083,0.1086,0,0.5165,1.3328
"Mrc1",0.0156,0.0025,0.1163,0,0.002,0.003,0.0372,1.4379,0,0.0111
"Serping1",0,0.0047,0.5187,0.0723,0.0099,0,0.1963,0.0294,0.1177,0
"Slc1a2",3.6851,3.4287,0.6714,0.6185,0.8031,1.7689,52.9122,0.4121,1.556,2.4468
"P2ry12",0.2824,0.0638,0,0,0.07,0.2086,0.1683,10.1716,1.0825,0.1306
"Jun",0.1276,0.0407,0,0.169,0.0325,0.1017,0.0703,0.0689,0,0.8691
"Isg15",0,0.0018,0,0,0.0031,0,0.0145,0,0,0.1565
"Tmem119",0,0.0014,0,0,0.0016,0.0118,0.0303,0.8452,0.0783,0.0111
"Aldh1l1",0.0633,0.0284,0,0.2637,0.0233,0.2395,1.2672,0.0354,0.4254,0.0219
"Apoe",0.6374,0.0813,0.0972,0.568,0.0654,0.4837,2.4059,1.0736,1.9632,1.0528
"Tgfb1",0.0056,0.0023,0.0994,0,0.0015,0.0172,0.0267,1.4397,0,0.0299
"Tyrobp",0,0.0029,0,0,0.001,0.0113,0.009,0.5646,0,0
"Bax",0.273,0.1315,0.2308,0.6647,0.1419,0.1526,0.1804,0.5241,0.0107,0.2921
"Itgam",0.0759,0.0038,0,0,0.0037,0.0698,0.0068,4.3025,0.0783,0.0188
"Casp3",0.171,0.0434,0.0724,0.0499,0.1091,0.0572,0.1735,0.0978,0,0.0325
"Tubb3",0.2321,0.3854,0,0.0304,0.5108,0.4606,0.1245,0.0485,0.0675,0
"Casp1",0,0.003,0,0,0.0042,0.0062,0,0.2015,0,0.0168
"Bace1",0.2879,0.2291,0.2534,0.3802,0.297,0.9092,0.3519,0.2376,0.5645,0.2124
"Cx3cr1",0.093,0.036,0,0.6254,0.0392,0.1326,0.0744,6.0683,0.7509,0.1721
"Arg1",0,2e-04,0,0,5e-04,0.0063,0,0,0,0
"Gja1",0.0557,0.0274,0,0,0.011,0.079,2.2663,0.0316,1.2951,0.1109
"S100b",0.4332,0.0171,0,0,0.0128,0.257,0.3305,0,0.3558,0.2234
"Cd68",0.0216,0.0081,0,0,0.0039,0.0118,0.0042,0.1616,0.0316,0
"Dlg4",0.5671,0.9086,0.1165,0.7876,0.7556,0.1039,0.7415,0.2017,0.6054,0.0731
"Ccl5",0,3e-04,0,0,5e-04,0,0.004,0,0,0
"Ccl3",0,1e-04,0,0,0,0.0123,0,0.0518,0,0
"Ccl4",0,1e-04,0,0,0,0.008,0,0.2196,0,0
"Stat3",0.9801,0.3293,1.8646,0.5625,0.4863,1.0009,1.7716,1.9624,1.1405,2.2231
"Gfap",0,0.0082,0,0,0.004,0.0086,0.5311,0,0.1372,0.0168
"Sox9",0,0.0087,0,0.3137,0.0044,0.0454,0.6863,0,1.0242,0.0731
"Rbfox3",0.1285,4.6717,0,0.089,2.4481,0.1475,0.1457,0.1434,0.5973,0.15
"Fos",0.0043,0.0511,0.1037,0.0428,0.066,0,0.0508,0.0316,0,0.161
"Clu",0.1349,0.0814,0.1658,0.5579,0.1559,0.1244,1.2116,0.1002,1.169,0.3446
"Slc1a3",2.6198,0.1686,0.356,0,0.0878,2.0548,19.5421,2.4928,2.962,0.827
"App",4.3027,5.9423,7.028,9.4838,6.9001,15.4803,3.1852,3.357,2.5473,18.2778
"Aif1",0,0.0027,0,0,0.0022,0.0077,0.0053,0.5328,0,0
"Trem2",0.0062,0.0046,0,0,0.0021,0.0341,0.0133,1.5835,0.1056,0
"C3",0.0179,0,0,0,0.0017,0,0.0092,0.0189,0,0
"Aqp4",0.0275,0.0143,0.0686,0.0254,0.0103,0.0499,1.5102,0,1.2835,0.2732
"Egr1",0.2025,0.2784,0.218,0.2204,0.1327,0.05,0.4064,0,0.3309,0.378
"Camk2a",0.2937,6.6675,0.8082,0.2407,2.8346,0.3869,0.3703,0.7322,0.6295,0.583
"Ifit3",0.0267,0.0016,0.3178,0,0.0045,0,0.0812,0,0.1814,0.1594
"Syp",0.3558,0.7734,0.3051,0.0116,0.8768,0.3009,0.1496,0.4485,0.0889,0.6102
"Syn1",0.5848,1.4419,0.1084,0.0231,1.3713,0.3338,0.1928,0.2994,0.1098,0.1564
"Dcx",0.8465,1.0735,0,0.0782,1.3224,0.1666,0.1232,0.1571,0.1427,0.1084
