"","Astrocytes_Sample1","Astrocytes_Sample2","Choroid.plexus_Sample1","Choroid.plexus_Sample2","Endothelial_Sample1","Endothelial_Sample2","Ependymal_Sample1","Ependymal_Sample2","Excitatory.neurons_Sample1","Excitatory.neurons_Sample2","Inhibitory.neurons_Sample1","Inhibitory.neurons_Sample2","Microglia_Sample1","Microglia_Sample2","Oligodendrocytes_Sample1","Oligodendrocytes_Sample2","OPC_Sample1","OPC_Sample2","Pericytes_Sample1","Pericytes_Sample2"
"Map2",5.2755,5.8386,1.3067,2.1238,0.4376,0.9846,3.1431,3.6661,6.5378,6.0962,8.2178,7.6604,0.7573,0.94,1.8455,2.6322,8.101,8.8888,2.5064,3.6025
"Ptprc",0.0194,0.0632,0,0,0,0.1058,0,0,0.0184,0.0085,0.0091,0.0062,6.9981,5.5173,0.0953,0.0427,0.0497,0.1207,0,0
"Ptgs2",0,0,0,0,0.6304,0.286,0,0,0.0223,0.0275,0.0044,0.0025,0,0,0,0.0043,0,0,0,0
"Atf3",0,0,0,0,0.0926,0.034,0,0,0.0071,0.001,0.004,0.0042,0.2193,0,0,0,0,0,0,0
"Vim",0.1198,0.0983,0,0,0.9325,1.5781,0.6012,0.3547,0.0056,0.0024,0.0106,0.0031,0,0,0.0176,0,0,0,0.6739,0.2147
"Mrc1",0.0549,0.0208,0,0,0,0.018,0,0,0.001,0.0037,0.001,0.004,1.6442,1.2845,0.0063,0,0.0234,0.0098,0,0.2352
"Serping1",0.2668,0.1311,0.1048,0.0192,0,0,0,0.3423,0.0061,0.0037,0.0102,0.0093,0,0.0512,0,0,0,0,0.4527,0.5863
"Slc1a2",38.4846,66.2518,0.4554,0.8843,1.0649,3.2938,1.1229,2.383,2.9009,3.8192,0.7357,0.9377,0.3431,0.4634,1.4017,2.0938,3.5042,3.8191,0.9037,0.4339
"P2ry12",0.1007,0.2308,0,0,0,0.2106,0.0163,3.118,0.0543,0.0708,0.0867,0.0367,6.1632,13.1513,0.1187,0.2882,0.2189,0.3295,0,0
"Jun",0.0743,0.0666,0,0.4444,0.9684,0.8082,0,0,0.0422,0.0397,0.0397,0.0181,0.0744,0.0648,0.1631,0.0473,0.1466,0.1136,0,0
"Isg15",0.0192,0.0101,0,0,0.1102,0.1849,0,0,0.0013,0.0022,0.0034,0.0025,0,0,0,0,0,0,0,0
"Tmem119",0.0493,0.0127,0,0,0,0.018,0,0.2277,9e-04,0.0019,0.0024,0,0.8953,0.8079,0,0.0223,0,0,0,0
"Aldh1l1",1.075,1.4449,0.2839,0.2308,0.0575,0,0.6483,0,0.0173,0.0367,0.0191,0.0316,0,0.0618,0.3468,0.1446,0.1105,0.0283,0,0
"Apoe",1.8839,2.8886,0.616,0.4899,0.3827,1.4635,0.3369,5.0678,0.077,0.0845,0.0663,0.0634,1.3011,0.9046,0.4698,0.496,0.5915,0.6715,0.1924,0
"Tgfb1",0.0194,0.0334,0,0,0,0.0482,0,0,0.0012,0.0031,0.0017,0.0011,1.2519,1.5792,0,0.0325,0,0.0098,0,0.2011
"Tyrobp",0.0188,0,0,0,0,0,0,0,0.0021,0.0035,0,0.0031,0.4404,0.6569,0.024,0,0,0,0,0
"Bax",0.2472,0.1187,0.8088,0.4297,0.2592,0.3122,0.0163,0,0.1357,0.1284,0.1533,0.1192,0.4415,0.5855,0.1794,0.1289,0.2392,0.2981,0.2792,0.1813
"Itgam",0,0.013,0,0,0,0.0304,0,0.2277,0.0058,0.0024,0.0048,0.0014,3.4953,4.9026,0.0495,0.0878,0.0483,0.0964,0,0
"Casp3",0.1757,0.1716,0.0805,0,0,0.0525,0,0,0.0447,0.0425,0.1065,0.1144,0.143,0.0642,0.0266,0.0842,0.1267,0.2039,0,0.1464
"Tubb3",0.1091,0.1388,0.0373,0.0192,0,0,0.1028,0,0.4199,0.3598,0.5211,0.4903,0.1138,0,0.6069,0.331,0.2751,0.2003,0,0
"Casp1",0,0,0,0,0,0.027,0,0,0.0012,0.0043,0.0026,0.0075,0.2942,0.1326,0,0.0116,0,0,0,0
"Bace1",0.4056,0.3023,0.5118,0.1657,0.0728,0.298,0.5838,0.5276,0.2395,0.2213,0.3074,0.2762,0.2127,0.2562,0.799,1.0068,0.2787,0.2946,0.269,0.2374
"Cx3cr1",0.0748,0.0739,0.6963,0.5097,0.1577,0.181,0.3906,1.4385,0.0393,0.0336,0.0448,0.0281,5.2121,6.7047,0.1211,0.1427,0.0234,0.1447,0,0
"Arg1",0,0,0,0,0,0,0,0,5e-04,0,8e-04,0,0,0,0.0135,0,0,0,0,0
"Gja1",2.0578,2.4591,0,0,0,0.1788,1.9735,0,0.0122,0.0387,0.0099,0.013,0.074,0,0.0746,0.0829,0.0622,0.0509,0,0
"S100b",0.2599,0.3957,0,0,0.0502,0.3295,0.3108,0.4415,0.0208,0.0144,0.0146,0.0091,0,0,0.3125,0.2079,0.4877,0.3929,0,0
"Cd68",0,0.0081,0,0,0,0,0.0481,0,0.0132,0.0043,0.003,0.0058,0.3132,0.0489,0.0113,0.0122,0,0.0376,0,0
"Dlg4",0.5897,0.8818,0.9062,0.5944,0,0.1179,0.6988,0.4272,1.0655,0.7924,0.7847,0.6975,0.08,0.2921,0.1082,0.1001,0.547,0.5821,0,0.2357
"Ccl5",0.0083,0,0,0,0,0,0,0,7e-04,0,8e-04,0,0,0,0,0,0,0,0,0
"Ccl3",0,0,0,0,0,0,0,0,3e-04,0,0,0,0.1214,0,0.0261,0,0,0,0,0
"Ccl4",0,0,0,0,0,0,0,0,2e-04,0,0,0,0.515,0,0.0171,0,0,0,0,0
"Stat3",2.2041,1.3718,0.5969,0.5066,2.412,2.1073,1.0338,1.3443,0.3607,0.3061,0.5185,0.4221,1.7486,2.1214,1.2313,0.797,0.9979,0.9669,2.6535,1.0583
"Gfap",0.6118,0.4565,0,0,0,0.027,0,0.3992,0.013,0.0045,0.0048,0.0025,0,0,0.0183,0,0,0,0,0
"Sox9",0.6626,0.7082,0.4471,0.0963,0,0.1179,1.4561,0.1996,0.0073,0.0097,0.0039,0.0056,0,0,0.0193,0.0685,0,0,0,0
"Rbfox3",0.1208,0.1688,0.0373,0.1731,0.1646,0.1411,0.7909,0.2277,4.2678,4.9705,2.3682,2.6075,0.168,0.1252,0.2271,0.0771,0.1884,0.0842,0,0
"Fos",0.0356,0.0649,0.0691,0,0,0.2596,0,0,0.0553,0.048,0.061,0.0759,0,0.0551,0,0,0.01,0,0.2051,0
"Clu",0.9826,1.4234,0.768,0.2156,0,0.5559,1.3484,0.8266,0.0739,0.0869,0.1626,0.1425,0.0623,0.1283,0.12,0.1283,0.1151,0.1497,0.1924,0.1386
"Slc1a3",14.4187,24.2792,0,0,0.304,1.1475,1.5615,5.6357,0.1215,0.2034,0.0587,0.1458,2.4093,2.5548,1.9747,2.1257,2.893,2.4173,0.1889,0.5269
"App",3.3759,3.0089,9.2518,9.8618,17.7321,18.6122,2.7412,2.1772,6.0203,5.8846,6.7127,7.274,3.2084,3.4675,14.7712,16.1077,4.366,4.2558,6.5935,7.4721
"Aif1",0.011,0,0,0,0,0,0,0,0.0025,0.0029,0.0033,0,0.4124,0.6222,0,0.0144,0,0,0,0
"Trem2",0.0194,0.0076,0,0,0,0,0.1609,0,0.0024,0.0063,0.0031,0,1.9646,1.3002,0.0159,0.0503,0,0.0107,0,0
"C3",0.0192,0,0,0,0,0,0,0,0,0,0.0026,0,0.0444,0,0,0,0.0421,0,0,0
"Aqp4",1.483,1.5353,0.041,0,0,0.4407,1.3669,1.1242,0.0109,0.0168,0.0112,0.0085,0,0,0.0883,0.0159,0,0.0478,0,0.1386
