"","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31"
"Map2",8.4701,5.9406,2.2086,6.0113,7.6486,6.5563,4.4922,6.767,4.9285,6.3043,6.3492,8.5534,0.8621,8.0616,0.7767,7.2085,7.6642,7.9096,5.2894,6.5057,8.7596,2.1072,3.0484,1.6174,9.6405,6.496,8.2251,3.0264,8.0463,3.3229,6.2326,0.5537
"Ptprc",0.0088,0.0201,0.0074,0.0254,0.0126,0.0415,0.0057,0.01,0.0105,0,0.0114,0.0904,6.1487,0,0.0656,0,0.0352,0,0,0,0.0044,0.0559,0,0,0,0,0,0.9109,0,0,0,0
"Ptgs2",0.0046,0.0146,0.0025,0.0374,0.0365,0,0.0018,0.022,0.0561,0,0.0384,0,0,0,0.4168,0,0.0103,0,0.0251,0.0667,0,0,0,0,0,0.0577,0,0,0,0,0,0
"Atf3",0.0032,0.001,0,0.0018,0.0146,0,0.0129,0,0,0.0101,0,0,0.0935,0,0.0563,0,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vim",0.0104,0.0052,0.0088,0.0046,0.0017,0.0519,0,0.0133,0,0.0022,0,0,0,0.0061,1.3328,0,0,0,0.0071,0,0,0.3402,0.4468,0,0.0092,0,0,0,0,0.5165,0.0412,0.2624
"Mrc1",0.0026,0.0015,0,0.0107,0.0012,0.0333,9e-04,0,0,0,0,0.0156,1.4379,0.0037,0.0111,0,0,0,0,0,0.0049,0.0646,0.1163,0,0,0,0,0.0448,0,0,0.0187,0
"Serping1",0.0111,0.0011,0,0,0.004,0.0404,0.0092,0.0063,0,0.0088,0.0147,0,0.0294,0.0034,0,0,0,0.0389,0.0074,0,0,0.7972,0.5187,0.0723,0,0,0,0,0.0197,0.1177,0.0619,0.7631
"Slc1a2",0.7805,0.6328,0.641,4.3428,2.1546,66.6522,3.0617,8.4205,2.8997,0.3454,1.8381,3.6851,0.4121,10.3643,2.4468,1.7027,0.4001,8.2058,0.8572,3.0719,1.364,0.55,0.6714,0.6185,1.8861,2.1336,0.3082,17.6476,1.3174,1.556,1.3114,0.5122
"P2ry12",0.0776,0.0858,0.0412,0.0638,0.0425,0.2124,0.0591,0.0414,0.0655,0.0546,0.1074,0.2824,10.1716,0.0756,0.1306,0.0737,0.0441,0.0437,0.0072,0.0784,0.0748,0,0,0,0.0334,0,0.0351,2.5662,0.0642,1.0825,0.0371,0
"Jun",0.0408,0.0118,0.1027,0.0209,0.0809,0.0729,0.0332,0.0314,0.0269,0.0182,0.1755,0.1276,0.0689,0.0316,0.8691,0,0.0231,0.051,0.0199,0.0594,0.0295,0.0383,0,0.169,0.013,0.0242,0,0.087,0.0337,0,0,0.1511
"Isg15",0.0033,0.0019,0,0.0027,0,0.0066,0.0014,0,0.0025,0,0,0,0,0,0.1565,0,0,0,0,0.0188,0.0084,0.0553,0,0,0.0287,0,0,0,0,0,0,0
"Tmem119",0.002,0.003,0,0,0.0018,0.0084,0,0.0018,0.0022,0.0019,0.0045,0,0.8452,0,0.0111,0,0,0,0,0,0,0.1417,0,0,0,0,0,0.1783,0,0.0783,0,0
"Aldh1l1",0.0213,0.0073,0.2096,0.0563,0.0221,1.5808,0.0072,0.0407,0.0446,0.0182,0.0062,0.0633,0.0354,0.0237,0.0219,0.0617,0.0361,0.1621,0.0062,0.025,0.0119,0.0898,0,0.2637,0.0068,0.015,0,0.6601,0,0.4254,0,0
"Apoe",0.067,0.0804,0.4252,0.0496,0.0449,2.8747,0.0532,0.0597,0.054,0.0813,0.1011,0.6374,1.0736,0.0341,1.0528,0.0364,0.0596,0.7296,0.0603,0.1286,0.0589,0.7706,0.0972,0.568,0.0539,0.0422,0.0309,1.3064,0.0505,1.9632,0.0278,0
"Tgfb1",0.0023,0.0052,0,0.0017,0,0.0136,0.0013,0.0048,0.0026,0,0,0.0056,1.4397,0.0035,0.0299,0,0,0,0,0,0,0.0559,0.0994,0,0,0,0,0.2597,0,0,0,0.1597
"Tyrobp",0,0.0019,0,0.0047,0.0043,0,0.0028,0.0043,0,0.0044,0.0066,0,0.5646,0.0035,0,0.0066,0,0,0,0,0,0.0542,0,0,0,0,0,0.1702,0,0,0,0
"Bax",0.1489,0.1107,0.1545,0.1501,0.1139,0.1605,0.139,0.1569,0.1404,0.1032,0.1326,0.273,0.5241,0.1582,0.2921,0.1594,0.1772,0.0224,0.12,0.0902,0.1424,0.2436,0.2308,0.6647,0.0597,0.2174,0.2205,0.1259,0.1223,0.0107,0.1485,0.3089
"Itgam",0.0033,0.0095,0.015,0.0044,0.0011,0.0086,0.004,0.002,0.0043,0.0034,0.0019,0.0759,4.3025,0,0.0188,0.0156,0,0,0,0,0,0,0,0,0,0,0,0.8418,0,0.0783,0,0
"Casp3",0.1205,0.0069,0.0505,0.0307,0.0573,0.1502,0.0487,0.0341,0.09,0.13,0.0465,0.171,0.0978,0.0096,0.0325,0.0665,0.0419,0.2684,0,0,0.0955,0.327,0.0724,0.0499,0.0118,0.0917,0.0226,0.1503,0.0699,0,0.1021,0
"Tubb3",0.5298,0.4145,0.4721,0.3779,0.4202,0.1013,0.499,0.2554,0.3835,0.5447,0.1217,0.2321,0.0485,0.3146,0,0.4065,0.3669,0.6047,0.312,0.4616,0.4947,0.1918,0,0.0304,0.3546,0.579,0.3294,0.2976,0.7193,0.0675,0.4077,0.2998
"Casp1",0.0022,0,0,0.0081,0.0089,0,0,0,0.0048,0.0035,0,0,0.2015,0,0.0168,0.0137,0.0175,0,0,0.0123,0,0,0,0,0,0,0,0.0931,0,0,0.0246,0
"Bace1",0.3029,0.1891,0.9208,0.237,0.2426,0.354,0.2117,0.2808,0.2118,0.2976,0.2901,0.2879,0.2376,0.248,0.2124,0.3445,0.1969,0.1201,0.2602,0.1323,0.2593,0.3646,0.2534,0.3802,0.2479,0.5454,0.1118,0.7468,0.3719,0.5645,0.2307,0.2596
"Cx3cr1",0.041,0.0348,0.0464,0.0347,0.0168,0.0638,0.0224,0.0427,0.0497,0.0387,0.0683,0.093,6.0683,0.0252,0.1721,0.031,0.0185,0.1073,0.0097,0.0147,0.0351,0.1426,0,0.6254,0.0778,0.0365,0.0494,1.3453,0.0444,0.7509,0,0
"Arg1",0,0,0.0068,0,0.0017,0,0,0,0,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gja1",0.0099,0.0265,0.04,0.0093,0.0143,2.5043,0.012,0.0225,0.0057,0.0187,0.0168,0.0557,0.0316,0.0229,0.1109,0.0155,0.0114,0.4098,0.0106,0.0147,0.0057,1.227,0,0,0,0.0177,0,0.6281,0,1.2951,0,1.899
"S100b",0.0163,0.0141,0.2496,0.0434,0.0135,0.4074,0.004,0.0057,0.0032,0.0099,0.0148,0.4332,0,0.041,0.2234,0,0,0,0.0091,0.0072,0.0559,0,0,0,0,0,0,0.3613,0.0218,0.3558,0,0.1903
"Cd68",0.0032,0.0262,0.0126,0.001,0.0053,0.0053,0.0051,0.0031,0,0.0068,0,0.0216,0.1616,0.0172,0,0,0.0133,0,0.0074,0,0.0051,0,0,0,0,0,0,0,0,0.0316,0,0
"Dlg4",0.8129,1.1484,0.0818,0.7499,0.7841,0.7581,0.9622,0.8731,0.845,0.5471,0.9207,0.5671,0.2017,0.9078,0.0731,0.5329,0.8662,0.7177,1.1509,0.6198,0.8742,0.577,0.1165,0.7876,0.9714,0.6094,1.2006,0.4147,0.5034,0.6054,0.49,1.0908
"Ccl5",8e-04,0,0,0,0,0.005,0,0,0.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ccl3",0,0,0,0,0,0,0.0013,0,0,0,0,0,0.0518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1851,0,0,0,0
"Ccl4",0,4e-04,0,0,0,0,0,0,0,0,0,0,0.2196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1207,0,0,0,0
"Stat3",0.5052,0.3144,0.9521,0.2695,0.2632,1.5047,0.4543,0.3555,0.3905,0.4069,0.3464,0.9801,1.9624,0.3359,2.2231,0.4122,0.5225,0.4742,0.1146,0.1706,0.2262,2.548,1.8646,0.5625,0.4589,0.5952,0.5058,1.6883,0.4622,1.1405,0.6401,3.7731
