"gene","n_S1","n_S2","mean_S1","mean_S2","median_S1","median_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Slc1a2",4309,4305,0.75869922534397,1.04612015539022,0,0.799639939250737,1.05028516715339,1.19765898615425,0.0159999632479738,0.0182535188857118,0.287420930046253,7934343.5,9.95862684765787e-35,4.87972715535236e-33,"***"
"Camk2a",4309,4305,1.15627446963457,1.28976178509124,1.29445497233799,1.51344028420563,0.926613552004461,0.975288284033404,0.0141159593992253,0.014864367334463,0.133487315456671,8470631,1.45842895025657e-12,2.89815028055053e-11,"***"
"Rbfox3",4309,4305,0.979110894942413,1.0945180198711,1.07785165271537,1.27436627472913,0.807830067005706,0.887229527808924,0.0123064209482564,0.0135222639574765,0.115407124928687,8476725.5,1.77437772278604e-12,2.89815028055053e-11,"***"
"Map2",4309,4305,1.72875169281241,1.62224785385301,1.94779823749812,1.83689930522053,0.844643432097438,0.863195232215282,0.0128672329133519,0.0131559572928957,-0.106503838959395,10057721,1.08319642590121e-11,1.32691562172899e-10,"***"
"Slc1a3",4309,4305,0.256435626137138,0.358594668173415,0,0,0.744406681885088,0.902873025426745,0.0113402339899636,0.0137606864821739,0.102159042036277,8874659.5,2.67876630223316e-08,1.87513641156321e-07,"***"
"Dcx",4309,4305,0.403657199833364,0.501291309479974,0,0,0.551566282579963,0.624107988696599,0.00840251821704729,0.0095120289582412,0.0976341096466097,8577377.5,1.78888121237638e-11,1.75310358812885e-10,"***"
"Dlg4",4309,4305,0.427387541400463,0.360120293771115,0,0,0.528417572072451,0.507275585274306,0.00804987254619388,0.00773138646569009,-0.0672672476293478,9936581.5,1.54377264016898e-10,1.260747656138e-09,"***"
"Stat3",4309,4305,0.296208991125565,0.242365706504975,0,0,0.557484568290156,0.51467502482518,0.008492676925192,0.00784416131324438,-0.0538432846205898,9753752.5,6.36753596402826e-08,3.46676958041539e-07,"***"
"Tubb3",4309,4305,0.234334806817711,0.187527241651116,0,0,0.427914364738601,0.387566806165906,0.00651881443556341,0.00590690513544334,-0.046807565166595,9756823.5,3.41905908759736e-08,2.09417369115339e-07,"***"
"P2ry12",4309,4305,0.0653053009924424,0.102362717132924,0,0,0.312487903935582,0.453934856378189,0.00476041663232922,0.00691842049328974,0.0370574161404816,9177899,0.049995070660856,0.128934655914839,"ns"
"Apoe",4309,4305,0.102683747218341,0.133964734112576,0,0,0.382552543351695,0.457382471890559,0.00582777594644643,0.00697096559635601,0.0312809868942351,9126347,0.0101547621513671,0.0331722230277991,"*"
"Syp",4309,4305,0.37798698738292,0.348059610572727,0,0,0.513439689970899,0.499897999289366,0.00782170064521691,0.00761894468830278,-0.0299273768101929,9573817.5,0.00325814835286254,0.0139823726408465,"*"
"Egr1",4309,4305,0.0971454157726775,0.115003051830575,0,0,0.309801594015087,0.355093357229627,0.00471949359414419,0.00541197734690318,0.0178576360578977,9162445.5,0.0747006000068693,0.159144756536374,"ns"
"Bace1",4309,4305,0.173479573312135,0.156866399100758,0,0,0.389378395095146,0.393862811798268,0.00593176044555856,0.00600286254823234,-0.016613174211377,9539187,0.000729139917507995,0.00357278559578918,"**"
"Bax",4309,4305,0.0936442916324055,0.0789630243778963,0,0,0.29088837907216,0.273897754352303,0.00443137113611877,0.00417447528021128,-0.0146812672545092,9454434.5,0.00342425452428893,0.0139823726408465,"*"
"Itgam",4309,4305,0.0202432588373881,0.0346734847065512,0,0,0.204167538848786,0.278958870489841,0.00311027254327848,0.0042516117439855,0.0144302258691631,9231399.5,0.0684643212821392,0.159144756536374,"ns"
"Cx3cr1",4309,4305,0.0528111801449596,0.0642416524484347,0,0,0.291248024088949,0.347391170241711,0.00443684994057199,0.00529458832609629,0.0114304723034751,9275430.5,0.993978960808573,0.993978960808573,"ns"
"Gja1",4309,4305,0.0573966914677169,0.0678898200454702,0,0,0.308196654199537,0.343009633231734,0.00469504406475245,0.00522780932682801,0.0104931285777533,9218507,0.154861889237226,0.26166319215945,"ns"
"App",4309,4305,1.80792495855412,1.79887992656841,1.93519932134507,1.93471422457981,0.788647428878857,0.827297933275627,0.0120141941182226,0.0126088466113777,-0.00904503198570894,9306130.5,0.788043004153879,0.877593345535001,"ns"
"Tgfb1",4309,4305,0.00886059210101609,0.0166722203961372,0,0,0.1277065407989,0.176721576960711,0.00194547159496335,0.00269341330032793,0.00781162829512109,9234097,0.0194745722187468,0.0561325905128585,"ns"
"Aldh1l1",4309,4305,0.0486985105763253,0.0554544558555297,0,0,0.267984939302668,0.290738433611265,0.00408246190077532,0.00443114404857979,0.00675594527920434,9225290.5,0.201167746336897,0.328573985683598,"ns"
"Gfap",4309,4305,0.0161006470755921,0.0104786130606581,0,0,0.168551250383516,0.140825280847398,0.00256769675120282,0.00214631790288475,-0.005622034014934,9313769.5,0.0361674105865733,0.0984557288190051,"ns"
"Jun",4309,4305,0.0311174436274506,0.0262353302757188,0,0,0.194260190959927,0.17604037701243,0.00295934476950416,0.00268303113289576,-0.00488211335173183,9305654,0.373830657581234,0.523362920613727,"ns"
"Serping1",4309,4305,0.0112832016914372,0.00775147670087234,0,0,0.132219023812771,0.111494983240547,0.00201421441323501,0.00169929487923646,-0.00353172499056491,9305161.5,0.0848047111962846,0.159824263408383,"ns"
"Ccl4",4309,4305,0.00332296231558601,0,0,0,0.0821885660495089,0,0.00125205427756341,0,-0.00332296231558601,9292342.5,0.00468133257613246,0.0176450227869608,"*"
"Atf3",4309,4305,0.00391398696785275,0.00114910738398761,0,0,0.0766423716951489,0.0339708909205128,0.00116756398044117,0.000517750299668502,-0.00276487958386513,9292347.5,0.0733791097094415,0.159144756536374,"ns"
"Syn1",4309,4305,0.55836096972233,0.560974992274402,0.53618422552622,0.496073803457188,0.600183024929477,0.615834262882224,0.00914314192111873,0.00938592911500214,0.0026140225520711,9285127,0.926684131228442,0.966117498514759,"ns"
"Casp3",4309,4305,0.0412405287783275,0.0388099622602763,0,0,0.200190738177058,0.200074591758143,0.00304969026850007,0.00304933656527335,-0.00243056651805119,9327047,0.223146160955214,0.352714899574371,"ns"
"Tmem119",4309,4305,0.00607262209763795,0.00842606281739938,0,0,0.111196625020438,0.124686534635872,0.00169396081108883,0.00190034729508282,0.00235344071976143,9262151,0.339823249573659,0.504586037245736,"ns"
"Ptgs2",4309,4305,0.0094351450137934,0.0116486010239721,0,0,0.102573275726035,0.109368236711112,0.00156259337289217,0.00166688113843967,0.00221345601017869,9249154,0.238636751910924,0.365412526363603,"ns"
"Cd68",4309,4305,0.00603092490208963,0.00392961631683277,0,0,0.0899082801043928,0.0654024754631687,0.00136965580620137,0.000996799034483678,-0.00210130858525686,9285898,0.444338199700855,0.588447886090321,"ns"
"Ccl3",4309,4305,0.00192633553755809,0,0,0,0.0544356850816212,0,0.000829269028948411,0,-0.00192633553755809,9288037.5,0.0143265969165486,0.04387520305693,"*"
"C3",4309,4305,0.00178358679911152,0,0,0,0.0484421881494134,0,0.000737964558847137,0,-0.00178358679911152,9290190,0.00816048819905905,0.0285617086967067,"*"
"Fos",4309,4305,0.0268481938101304,0.0285998519960729,0,0,0.163334864504152,0.168667803543203,0.00248823073095684,0.00257066575125323,0.00175165818594253,9259629,0.661561383665529,0.790646531697827,"ns"
"Tyrobp",4309,4305,0.00493573590876303,0.00663681398161469,0,0,0.0881231872280848,0.108112409612009,0.00134246183897382,0.00164774107942814,0.00170107807285166,9266435,0.511957475621183,0.660155692248367,"ns"
"Casp1",4309,4305,0.00243247449433357,0.00405785638473938,0,0,0.0645151830187509,0.0720023337734956,0.000982819323283425,0.0010973874655006,0.00162538189040581,9255728,0.0712825421374688,0.159144756536374,"ns"
"Aif1",4309,4305,0.00445243516129872,0.00597104484377748,0,0,0.0814297443414602,0.105746974193973,0.00124049444617643,0.00161168948162342,0.00151860968247876,9270755.5,0.727537706875544,0.829054596207015,"ns"
"Mrc1",4309,4305,0.0047742594006296,0.00616060793369986,0,0,0.115248598624431,0.126836589234095,0.0017556882645207,0.00193311627412249,0.00138634853307027,9268636,0.546370021689152,0.686464899045345,"ns"
"S100b",4309,4305,0.0311351787095528,0.0323826366046892,0,0,0.200293743339046,0.212073597008396,0.00305125944119497,0.00323221338703757,0.00124745789513642,9282927.5,0.81395985303117,0.886311839967274,"ns"
"Vim",4309,4305,0.0136075854935107,0.0126174017250948,0,0,0.14865154821699,0.161411451316391,0.00226454622288204,0.00246007169739922,-0.000990183768415875,9307083,0.0893619795886301,0.162175444438625,"ns"
"Ptprc",4309,4305,0.0380901773167051,0.0389348756300634,0,0,0.286317459103761,0.290995146307798,0.00436173809378797,0.00443505660641848,0.000844698313358226,9270640,0.876760497784694,0.933940530248913,"ns"
"Arg1",4309,4305,0.000736426700215006,0,0,0,0.0309789295356938,0,0.000471930623733429,0,-0.000736426700215006,9281580,0.0833958397097579,0.159824263408383,"ns"
"Ifit3",4309,4305,0.00584408739851054,0.00511755480765561,0,0,0.0968338600362055,0.0912087217223378,0.00147515955684486,0.00139011199660961,-0.000726532590854934,9285811,0.400587354097434,0.545243898632618,"ns"
"Isg15",4309,4305,0.0019864217207779,0.00270923737523249,0,0,0.0515115895558347,0.0620859924791004,0.000784723583188236,0.000946252522092682,0.000722815654454583,9270792.5,0.635260884619848,0.778194583659313,"ns"
"Ccl5",4309,4305,0.000647440572025466,0,0,0,0.0250649680529053,0,0.000381837790535559,0,-0.000647440572025466,9281580,0.0833958397097579,0.159824263408383,"ns"
"Clu",4309,4305,0.0929780450632102,0.092405964780255,0,0,0.310726512941571,0.336109945280776,0.0047335837377489,0.00512265119268939,-0.000572080282955162,9363247.5,0.133679762027205,0.233939583547608,"ns"
"Aqp4",4309,4305,0.0441910636395686,0.0436675370841014,0,0,0.265715134515757,0.279948140899782,0.00404788386967823,0.0042666892128808,-0.000523526555467196,9305898,0.363732409337781,0.523362920613727,"ns"
"Trem2",4309,4305,0.0131060251273384,0.0135560930578434,0,0,0.15924170548872,0.157514508261169,0.00242587586214295,0.00240067839389848,0.000450067930505012,9268607,0.725709574913239,0.829054596207015,"ns"
"Sox9",4309,4305,0.0243056627623345,0.0246187057558372,0,0,0.190915883998698,0.19728213128586,0.00290839785513935,0.00300677667923091,0.000313042993502696,9274876.5,0.992829637953918,0.993978960808573,"ns"
