"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Slc1a2","Astrocytes",282,305,2.85908139058735,3.46573527046456,1.66470462314829,1.71890069996125,0.0991317177046557,0.0984239677648752,0.606653879877209,56617.5,2.80844486306822e-11,6.03815645559667e-10,"***"
"Slc1a3","Astrocytes",282,305,2.22615140408965,2.80608395657545,1.20758714374681,1.16884473137416,0.0719107679362863,0.0669278546256383,0.579932552485802,57694,7.77542197163929e-13,3.34343144780489e-11,"***"
"Apoe","Astrocytes",282,305,0.634924938402755,0.8724135431681,0.861722170805325,0.97683143389581,0.0513148085181397,0.0559332051954168,0.237488604765345,48893,0.00144760655028827,0.0155617704155989,"*"
"Stat3","Astrocytes",282,305,0.61448987100732,0.448317321471878,0.942121262382312,0.79488509770816,0.0561025047491068,0.0455149882918609,-0.166172549535441,39595,0.0377304199713513,0.260475334825574,"ns"
"Egr1","Astrocytes",282,305,0.0148846066033248,0.131778982465787,0.176598619049263,0.573077381100798,0.0105162947271181,0.0328143153851271,0.116894375862463,45098,0.000885423415046667,0.0126910689490022,"*"
"Clu","Astrocytes",282,305,0.365512359541087,0.477700116417026,0.695706602804316,0.802167207839784,0.0414287253098587,0.0459319607050267,0.112187756875939,45620,0.0949599190110511,0.351187058874724,"ns"
"Aldh1l1","Astrocytes",282,305,0.391594495647438,0.495936373735748,0.714141921633923,0.804183761383552,0.0425265325704378,0.0460474282250483,0.104341878088309,45662.5,0.0966469169543694,0.351187058874724,"ns"
"Dlg4","Astrocytes",282,305,0.236791437813583,0.325482788085689,0.56103684266166,0.667702358565812,0.0334092577958154,0.0382325258332225,0.0886913502721068,45122,0.124239585057051,0.410946319804092,"ns"
"Gja1","Astrocytes",282,305,0.674986221954209,0.762785142803963,0.898763144462337,0.943490703582905,0.0535205664003567,0.0540241205312191,0.0877989208497536,44914.5,0.293735920619794,0.586238101468796,"ns"
"Gfap","Astrocytes",282,305,0.199927767278031,0.118857650916305,0.57691547817373,0.478629032894039,0.0343548167804121,0.0274062186989384,-0.0810701163617262,40951,0.042402961483233,0.260475334825574,"ns"
"Map2","Astrocytes",282,305,1.33371253747618,1.40249805564583,1.08050270255232,1.12014304617612,0.0643429995923022,0.0641392042433711,0.0687855181696502,45091.5,0.298409322668362,0.586238101468796,"ns"
"Dcx","Astrocytes",282,305,0.0108015796824857,0.0727367015402673,0.128127411828444,0.353679050444527,0.00762987634141631,0.0202516035166247,0.0619351218577815,44540,0.00624734614414528,0.0537271768396494,"ns"
"S100b","Astrocytes",282,305,0.10326773418229,0.164459292131083,0.385930439001071,0.474929526166402,0.0229818232019651,0.0271943855599356,0.0611915579487922,44804,0.0805759155196155,0.351187058874724,"ns"
"Bace1","Astrocytes",282,305,0.16176881663515,0.110788057322881,0.480211373630317,0.42408496755826,0.0285961711569326,0.0242830346031411,-0.0509807593122691,41360,0.0980056908487601,0.351187058874724,"ns"
"Bax","Astrocytes",282,305,0.0956825719729849,0.0460143520097975,0.385167909313523,0.270138156279415,0.0229364152198665,0.0154680658320212,-0.0496682199631874,41681,0.070533028165087,0.351187058874724,"ns"
"Serping1","Astrocytes",282,305,0.0851957081281337,0.0458613684385183,0.39589138543962,0.283786930376689,0.0235749889303992,0.0162495923633738,-0.0393343396896154,42142.5,0.191905757024197,0.51574672200253,"ns"
