"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"Dcx","Inhibitory neurons",1542,773,0.620462191956205,0.707252651207961,0.588614114447254,0.647402138586133,0.0149895462000386,0.0232854364605646,0.0867904592517555,643471,0.00119461305430481,0.0280734067761631,"*"
"Map2","Inhibitory neurons",1542,773,2.09699481727176,2.01317334878468,0.543719201866833,0.592348849925722,0.0138462600474412,0.0213053072971874,-0.0838214684870886,551216,0.0031622091012389,0.0371559569395571,"*"
"Syn1","Inhibitory neurons",1542,773,0.697279047183941,0.638545525689766,0.603919503056602,0.607607557350867,0.0153793106043203,0.0218541248574669,-0.0587335214941757,563451,0.027333587469166,0.142742067894534,"ns"
"Dlg4","Inhibitory neurons",1542,773,0.437555333411967,0.383024706029467,0.510541310139684,0.507201099978013,0.0130013575405908,0.018242755595555,-0.0545306273825003,559907,0.00902539526224969,0.0605990824751051,"ns"
"Slc1a2","Inhibitory neurons",1542,773,0.366334348211395,0.420757295449411,0.54321549482266,0.605999888065523,0.0138334327301469,0.0217963010123446,0.0544229472380156,617026.5,0.108095978707007,0.305283637227615,"ns"
"Stat3","Inhibitory neurons",1542,773,0.286318934264988,0.233486209770416,0.465607795339045,0.435136141005808,0.0118570883504665,0.015650759179162,-0.0528327244945719,562239.5,0.00534608932422808,0.0418776997064533,"*"
"App","Inhibitory neurons",1542,773,1.91283036997186,1.96060908378451,0.54887058370262,0.595264763419792,0.0139774442547619,0.0214101854159699,0.047778713812652,634519,0.0110630611804189,0.0649954844349611,"ns"
"Camk2a","Inhibitory neurons",1542,773,1.0814777732559,1.12265177512653,0.731686513822294,0.725975318849692,0.0186330034120635,0.0261115173266662,0.0411740018706246,614598,0.217201295922127,0.392633111859229,"ns"
"Rbfox3","Inhibitory neurons",1542,773,1.00428904802763,1.0433977127652,0.665825934930291,0.711660764782754,0.0169558091929102,0.0255966586023578,0.0391086647375705,616441.5,0.174831154740165,0.371944860479956,"ns"
"Slc1a3","Inhibitory neurons",1542,773,0.0299637908874451,0.0639973353989949,0.178783972562643,0.28256225588309,0.00455288201688936,0.0101630579563557,0.0340335445115497,612022.5,0.00231756906877446,0.0363085820774665,"*"
"Syp","Inhibitory neurons",1542,773,0.490856076971793,0.45734720499691,0.525830866667671,0.537201074089305,0.0133907187678009,0.0193217796663013,-0.033508871974883,573379,0.110421741124882,0.305283637227615,"ns"
"P2ry12","Inhibitory neurons",1542,773,0.054207164771023,0.0223360931020588,0.20773061728863,0.139445972883555,0.00529003231248453,0.00501552303851345,-0.0318710716689642,571315,3.76511122332223e-05,0.00176960227496145,"**"
"Bax","Inhibitory neurons",1542,773,0.0986698341263814,0.0732485356599188,0.264865177207686,0.244516227347205,0.0067450112273714,0.00879463742258364,-0.0254212984664626,571720,0.00410530763264397,0.0385898917468534,"*"
"Bace1","Inhibitory neurons",1542,773,0.186528788015191,0.162451107708054,0.364190022161332,0.357718059939263,0.00927440071311701,0.0128662243435019,-0.0240776803071371,573910,0.0425516525997203,0.195708138084339,"ns"
"Egr1","Inhibitory neurons",1542,773,0.06923432420536,0.0898025018874632,0.245761279002858,0.294873223468608,0.00625851462847315,0.0106058526837668,0.0205681776821032,603367,0.314442531706765,0.476735451297354,"ns"
"Tubb3","Inhibitory neurons",1542,773,0.299690453981256,0.281689822333702,0.452234361923578,0.446380878084579,0.0115165227861791,0.0160552042607542,-0.0180006316475531,582224,0.277420289920182,0.443890230213115,"ns"
"Fos","Inhibitory neurons",1542,773,0.0301677586390465,0.0439301914801702,0.179675818826741,0.203322293434857,0.00457559362106418,0.00731299460198452,0.0137624328411237,605250,0.0637010925954779,0.213853667999104,"ns"
"Clu","Inhibitory neurons",1542,773,0.100376911213766,0.0885467428027168,0.277742349113214,0.263189046471153,0.00707293908106383,0.00946625204560588,-0.011830168411049,586011,0.24347796030901,0.408695147661552,"ns"
"Jun","Inhibitory neurons",1542,773,0.0227676681351312,0.0113740443721577,0.147188611233734,0.0980059927693013,0.00374827995804928,0.0035250305511317,-0.0113936237629735,588615,0.0584344267527492,0.211262927490709,"ns"
"Cx3cr1","Inhibitory neurons",1542,773,0.028389571163691,0.018577557942154,0.151894142989239,0.118406550941347,0.00386811022360641,0.00425878762847571,-0.00981201322153705,589302,0.148357245269348,0.350546718484887,"ns"
"Apoe","Inhibitory neurons",1542,773,0.0411251743925541,0.0353928101477584,0.18264358055255,0.182015507762991,0.00465117013275128,0.00654664278698339,-0.00573236424479573,588854.5,0.211941901995885,0.392633111859229,"ns"
"Vim","Inhibitory neurons",1542,773,0.00699504615480569,0.00201002340547646,0.0732959829040192,0.0403161410072587,0.00186654294392644,0.0014500708042298,-0.00498502274932923,591730.5,0.0579997290537359,0.211262927490709,"ns"
"Aldh1l1","Inhibitory neurons",1542,773,0.0117850845803265,0.016319998304689,0.101438723847352,0.136425818145058,0.00258322116351338,0.00490689562276543,0.00453491372436255,596778,0.801509148190498,0.918803169876912,"ns"
"S100b","Inhibitory neurons",1542,773,0.00999796849144704,0.00613085906845447,0.083657101800472,0.0668102589887497,0.00213039742272757,0.00240299799440563,-0.00386710942299257,592488,0.23955004518141,0.408695147661552,"ns"
"Casp1","Inhibitory neurons",1542,773,0.00157807736679908,0.00446453359747797,0.037839560728821,0.0646187864420327,0.000963615771032711,0.00232417620544291,0.00288645623067888,597908.5,0.182015570022106,0.371944860479956,"ns"
"Casp3","Inhibitory neurons",1542,773,0.0659185258668551,0.0685992040969748,0.229709265697719,0.241507443914969,0.00584973680759644,0.00868641900429432,0.00268067823011965,595158,0.909508378198545,0.994113808728642,"ns"
"Trem2","Inhibitory neurons",1542,773,0.0022109069873583,0,0.0377397790671969,0,0.000961074748331894,0,-0.0022109069873583,593664,0.0825998476209585,0.258812855879003,"ns"
"Aif1","Inhibitory neurons",1542,773,0.00209087763255404,0,0.0416991827037412,0,0.00106190424303457,0,-0.00209087763255404,594437,0.156627257195375,0.350546718484887,"ns"
"Itgam","Inhibitory neurons",1542,773,0.00303425089646153,0.000951023449564364,0.0502751847587743,0.0264411885143855,0.00128029924216955,0.000951023449564369,-0.00208322744689717,594435,0.283334189497733,0.443890230213115,"ns"
"Tyrobp","Inhibitory neurons",1542,773,0,0.00201729030488649,0,0.0399905971879593,0,0.00143836180688854,0.00201729030488649,597525,0.0458040323176113,0.195708138084339,"ns"
"Ptprc","Inhibitory neurons",1542,773,0.00495086571741233,0.00301720763425433,0.0732056021992972,0.0617983367140643,0.00186424132438357,0.00222273167967373,-0.001933658083158,594436,0.369387803342629,0.542538336159486,"ns"
"Gja1","Inhibitory neurons",1542,773,0.00643668203909487,0.00836628154135347,0.0714612359870751,0.082771491249114,0.00181981959325936,0.00297708361674032,0.0019295995022586,597134.5,0.644004465199645,0.812378877426067,"ns"
"Gfap","Inhibitory neurons",1542,773,0.00318685924977509,0.00137482878490181,0.048651959660034,0.0382241963573496,0.00123896246988797,0.00137482878490181,-0.00181203046487328,594052,0.210490482635489,0.392633111859229,"ns"
"C3","Inhibitory neurons",1542,773,0.00177749395584972,0,0.0351237825682694,0,0.000894456229649862,0,-0.00177749395584972,594437,0.156627257195375,0.350546718484887,"ns"
"Tmem119","Inhibitory neurons",1542,773,0.00167576462381265,0,0.0337996859978427,0,0.000860737013225086,0,-0.00167576462381265,594437,0.156627257195375,0.350546718484887,"ns"
"Cd68","Inhibitory neurons",1542,773,0.00180754354729826,0.00348235197206114,0.0410834532458488,0.0571263983176335,0.00104622418214363,0.00205469373510446,0.00167480842476289,597137,0.387811337141776,0.5523373589595,"ns"
"Mrc1","Inhibitory neurons",1542,773,0.000727663771134254,0.00182285836278781,0.0205444928274997,0.050680707849606,0.000523182534763636,0.0018228583627878,0.00109519459165355,595982,0.999577880772882,0.999577880772882,"ns"
"Sox9","Inhibitory neurons",1542,773,0.00263815230168234,0.0037293774506712,0.0433584468664094,0.0527102797586773,0.00110415877994411,0.00189585699055575,0.00109122514898886,596749,0.656816964727458,0.812378877426067,"ns"
"Ifit3","Inhibitory neurons",1542,773,0.00313316733411697,0.00225371475477405,0.0515142784855976,0.0445152789678009,0.00131185379074139,0.00160110329909132,-0.000879452579342919,595207,0.614944800536461,0.802844600700379,"ns"
"Ptgs2","Inhibitory neurons",1542,773,0.00255536954022128,0.00171731189874692,0.0504306328309253,0.0343878300172097,0.00128425785614435,0.00123684427832006,-0.000838057641474362,595975,0.995519868966238,0.999577880772882,"ns"
"Isg15","Inhibitory neurons",1542,773,0.00193601531864345,0.00137498919409836,0.0443897570576421,0.0382286561945991,0.00113042194859505,0.00137498919409836,-0.000561026124545085,595595,0.722471427752703,0.848903927609426,"ns"
"Ccl5","Inhibitory neurons",1542,773,0.000513681425112499,0,0.0201714003289719,0,0.000513681425112499,0,-0.000513681425112499,595596.5,0.479499753559817,0.64389966906604,"ns"
"Arg1","Inhibitory neurons",1542,773,0.0005120155496054,0,0.0201059842167489,0,0.000512015549605395,0,-0.0005120155496054,595596.5,0.479499753559817,0.64389966906604,"ns"
"Tgfb1","Inhibitory neurons",1542,773,0.0011954108119256,0.000822753902613185,0.0282855699791985,0.0228749260072469,0.000720315479345532,0.000822753902613185,-0.000372656909312412,595594,0.721784946658868,0.848903927609426,"ns"
"Serping1","Inhibitory neurons",1542,773,0.00630691356770637,0.00606030210387179,0.0734291875530588,0.0695457947683597,0.00186993511069892,0.00250138837773186,-0.000246611463834583,595591.5,0.868972415363415,0.972421512430488,"ns"
