"gene","celltype","n_S1","n_S2","mean_S1","mean_S2","sd_S1","sd_S2","sem_S1","sem_S2","delta","W_stat","p_value","p_adj","sig"
"P2ry12","Microglia",84,113,1.20772256366149,2.0399430742421,1.30415428796332,1.32583753895353,0.142294898630789,0.124724304097993,0.832220510580602,6363.5,2.74088482460053e-05,0.0010415362333482,"**"
"Ptprc","Microglia",84,113,1.46604986216544,1.13231869331298,1.2279648130458,1.25277403363492,0.133981945393445,0.117851067680947,-0.333731168852464,4101,0.0857227264971737,0.321717465139266,"ns"
"Itgam","Microglia",84,113,0.790251598707879,1.09442038165709,1.1328628133453,1.21898091545789,0.123605466527511,0.114672078533258,0.304168782949211,5384,0.0709657388373919,0.321717465139266,"ns"
"Cx3cr1","Microglia",84,113,1.16577295295542,1.38254593390645,1.2037239013642,1.26089311544835,0.131337045091167,0.118614846650347,0.216772980951036,5313.5,0.131982148441324,0.385793972366947,"ns"
"Apoe","Microglia",84,113,0.311706743908878,0.114394529683099,0.789311130997412,0.575368271098177,0.0861209048730201,0.0541260939627846,-0.197312214225779,4287,0.0173657989258511,0.219966786394114,"ns"
"Trem2","Microglia",84,113,0.535147704808143,0.341364104076767,0.933887580028575,0.799601561461799,0.101895488715716,0.0752201875259224,-0.193783600731376,4289,0.100702278622914,0.321717465139266,"ns"
"Ccl4","Microglia",84,113,0.143596602797558,0,0.531637545522781,0,0.0580064117771113,0,-0.143596602797558,4407,0.00406231668379264,0.0771840169920601,"ns"
"Syp","Microglia",84,113,0.168235633190507,0.081779436267084,0.557902490487685,0.43226604653091,0.0608721522158142,0.0406641690665303,-0.086456196923423,4473,0.0967013639138836,0.321717465139266,"ns"
"Cd68","Microglia",84,113,0.0941730639821462,0.0165984051763853,0.428850197284562,0.176443467283825,0.0467913926393632,0.0165984051763853,-0.0775746588057609,4562,0.0887743676026022,0.321717465139266,"ns"
"Atf3","Microglia",84,113,0.0660885004132822,0,0.356618135678791,0,0.0389102285938593,0,-0.0660885004132822,4576.5,0.0440924690584416,0.321717465139266,"ns"
