"gene","ns","Down","Up"
"Slc1a3",1,0,3
"Map2",2,2,0
"Stat3",2,2,0
"Dcx",2,0,2
"Slc1a2",2,0,2
"P2ry12",2,1,1
"Tubb3",3,1,0
"Bax",3,1,0
"Syn1",3,0,1
"Camk2a",3,0,1
"Egr1",3,0,1
"Dlg4",3,1,0
"Rbfox3",3,0,1
"Apoe",3,0,1
"Arg1",4,0,0
"Isg15",4,0,0
"Ptgs2",4,0,0
"Sox9",4,0,0
"Ccl5",4,0,0
"Tmem119",4,0,0
"Vim",4,0,0
"Jun",4,0,0
"Fos",4,0,0
"C3",4,0,0
"Ifit3",4,0,0
"Mrc1",4,0,0
"Aif1",4,0,0
"Casp3",4,0,0
"Tyrobp",4,0,0
"Aqp4",4,0,0
"Serping1",4,0,0
"Casp1",4,0,0
"Ccl3",4,0,0
"App",4,0,0
"Bace1",4,0,0
"S100b",4,0,0
"Tgfb1",4,0,0
"Atf3",4,0,0
"Cd68",4,0,0
"Gfap",4,0,0
"Syp",4,0,0
"Gja1",4,0,0
"Aldh1l1",4,0,0
"Clu",4,0,0
"Ccl4",4,0,0
"Trem2",4,0,0
"Cx3cr1",4,0,0
"Itgam",4,0,0
"Ptprc",4,0,0
