"sample","celltype","n_cells","median_nCount","median_nFeature","median_pct_mt"
"Sample1","Astrocytes",282,2697,1516,0
"Sample2","Astrocytes",305,2519,1426,0.032
"Sample1","Choroid plexus",44,4096.5,2225.5,0.022
"Sample2","Choroid plexus",27,3532,1963,0
"Sample1","Endothelial",57,1215,858,0.075
"Sample2","Endothelial",93,1320,896,0.065
"Sample1","Ependymal",21,2631,1586,0.942
"Sample2","Ependymal",11,2128,1333,3.582
"Sample1","Excitatory neurons",1786,10224,3328,0.013
"Sample2","Excitatory neurons",2414,9702.5,3124,0.027
"Sample1","Inhibitory neurons",1542,8126,3171,0.014
"Sample2","Inhibitory neurons",773,7487,2890,0.036
"Sample1","Microglia",84,1590,1087,0
"Sample2","Microglia",113,1343,931,0.071
"Sample1","OPC",86,3683,1820,0
"Sample2","OPC",116,3635,1770.5,0.036
"Sample1","Oligodendrocytes",361,2067,1148,0
"Sample2","Oligodendrocytes",408,1866,1078,0.014
"Sample1","Pericytes",46,992,696,0
"Sample2","Pericytes",45,982,676,0
