"","Excitatory neurons","Inhibitory neurons","Astrocytes","Oligodendrocytes","OPC","Microglia","Endothelial","Pericytes","Ependymal","Choroid plexus"
"g0",0.812,1.4105,0.0311,0.111,0.0126,0.0276,0.01,0.0058,0.0044,0.0222
"g1",2.9839,0.0562,0.0244,0.214,0.0093,0.0174,0.0016,0.012,0.0017,0.017
"g2",1.9133,1.6843,0.033,0.3079,0.0245,0.0261,0.0026,0.003,4e-04,0.0271
"g3",0.1307,0.4871,0.4348,17.4454,0.0379,0.0119,0.0241,6e-04,0.0141,0.1032
"g4",0.8954,0.0642,0.0183,0.0858,0.0041,0.0146,0.0077,0.0083,0.0021,0.0175
"g5",1.2487,1.4252,0.0156,0.1419,0.0215,0.0251,0.0134,0.0011,0.0016,0.0277
"g6",0.2285,1.7043,3.8406,0.6496,0.0234,0.0384,0,0.3139,0,0.0715
"g7",2.9367,0.1076,0.0665,0.1693,0.0156,0.0218,0.0044,0.0036,0.0047,0.0287
"g8",2.2352,0.036,0.0208,0.1234,0.0089,0.014,0.0124,0.0048,0,0.0268
"g9",0.249,0.5337,1.1836,0.1944,1.4921,0.0687,0.185,4.2913,0,0.1076
"g10",0.4015,0.182,0.5005,1.2084,0.1736,3.0367,0.065,0.0489,0,0.3017
"g11",0.0977,0.9274,0.8068,0.5488,4.2483,0.0576,0.0198,0.0225,0.0139,0.0834
"g12",0.1079,0.096,0.0438,0.5045,0.0605,0.0457,3.6156,1.3439,0,0.1383
"g13",1.2342,1.5509,0.0768,0.9663,0.0086,0.0254,0.0125,0.0388,0,0
"g14",0.0217,0.163,0.0082,0.1547,0.0549,0.1393,0,0,0.2668,17.9616
"g15",0.7157,0.3143,0.0391,0.2284,0.0702,0.0129,0.0427,0,0.0195,0.4795
"g16",0.4942,0.4781,0.6479,0.1664,0,0.0814,0,0,1.0991,0.2697
