"gene","cluster","mean_logexpr"
"Map2","g0",7.86699781039176
"Map2","g1",6.7169399256819
"Map2","g2",6.5494414486425
"Map2","g3",1.83089463210784
"Map2","g4",4.5284667953286
"Map2","g5",10.0042710031898
"Map2","g6",6.09076801028378
"Map2","g7",7.90243784250647
"Map2","g8",6.98680115902381
"Map2","g9",2.12824314094268
"Map2","g10",1.06618810143078
"Map2","g11",8.20765605043775
"Map2","g12",0.437606242618969
"Map2","g13",6.9429114283604
"Map2","g14",1.30670476878454
"Map2","g15",8.9427744120202
"Map2","g16",3.14311728900679
"Ptprc","g0",0.00535085071174614
"Ptprc","g1",0.0321914506228262
"Ptprc","g2",0.0120783295340922
"Ptprc","g3",0.00569213329108907
"Ptprc","g4",0.00322828044262861
"Ptprc","g5",0.013130580596116
"Ptprc","g6",0.00976131629397961
"Ptprc","g7",0.0143159900597476
"Ptprc","g8",0
"Ptprc","g9",0.0488701227617484
"Ptprc","g10",6.5704650415312
"Ptprc","g11",0.052093643533616
"Ptprc","g12",0.0709416079624861
"Ptprc","g13",0
"Ptprc","g14",0
"Ptprc","g15",0
"Ptprc","g16",0
"Ptgs2","g0",0.00263859105753448
"Ptgs2","g1",0.0407083852939875
"Ptgs2","g2",0.0170083637381726
"Ptgs2","g3",0
"Ptgs2","g4",0
"Ptgs2","g5",0.00500125031257815
"Ptgs2","g6",0
"Ptgs2","g7",0.0340089286112213
"Ptgs2","g8",0.0319875443947585
"Ptgs2","g9",0
"Ptgs2","g10",0
"Ptgs2","g11",0
"Ptgs2","g12",0.630395104029862
"Ptgs2","g13",0
"Ptgs2","g14",0
"Ptgs2","g15",0
"Ptgs2","g16",0
"Atf3","g0",0.00121178778687561
"Atf3","g1",0
"Atf3","g2",0.00342046809027635
"Atf3","g3",0
"Atf3","g4",0.0174681846130914
"Atf3","g5",0.0052513451087772
"Atf3","g6",0
"Atf3","g7",0.0321197856432979
"Atf3","g8",0
"Atf3","g9",0
"Atf3","g10",0.17497966574074
"Atf3","g11",0
"Atf3","g12",0.16357022279418
"Atf3","g13",0
"Atf3","g14",0
"Atf3","g15",0
"Atf3","g16",0
"Vim","g0",0.010793115094082
"Vim","g1",0.00325053698665507
"Vim","g2",0.00886469334698213
"Vim","g3",0.018391819318767
"Vim","g4",0
"Vim","g5",0.0102712572002536
"Vim","g6",0.0332524857723043
"Vim","g7",0.00413080610615759
"Vim","g8",0.0160028075522233
"Vim","g9",0.508853245353826
"Vim","g10",0
"Vim","g11",0
"Vim","g12",0.932538277240377
"Vim","g13",0
"Vim","g14",0
"Vim","g15",0
"Vim","g16",0.601202694759329
"Mrc1","g0",0.00123401312870356
"Mrc1","g1",0
"Mrc1","g2",0.00259829209064298
"Mrc1","g3",0
"Mrc1","g4",0.00134457831066105
"Mrc1","g5",0
"Mrc1","g6",0.0758941586570912
"Mrc1","g7",0
"Mrc1","g8",0
"Mrc1","g9",0
"Mrc1","g10",1.45386030336553
"Mrc1","g11",0.0245572330874336
"Mrc1","g12",0
"Mrc1","g13",0
"Mrc1","g14",0
"Mrc1","g15",0
"Mrc1","g16",0
"Serping1","g0",0.0118237273250895
"Serping1","g1",0.00311508303457528
"Serping1","g2",0
"Serping1","g3",0
"Serping1","g4",0.0108768239192011
"Serping1","g5",0.00379564260229257
"Serping1","g6",0.0652202859374403
"Serping1","g7",0.00284741932691563
"Serping1","g8",0.00355100521855727
"Serping1","g9",0.721488339549967
"Serping1","g10",0
"Serping1","g11",0
"Serping1","g12",0
"Serping1","g13",0.0889157612078317
"Serping1","g14",0.104833346746354
"Serping1","g15",0
"Serping1","g16",0
