"cluster","region","second_choice","top_score"
"g0","Hippocampus","Amygdala",3.6405
"g1","Hippocampus","Cortex",7.8403
"g2","Hippocampus","Amygdala",7.0728
"g3","Hippocampus","Cortex",1.0046
"g4","Hippocampus","Thalamus",7.6018
"g5","Hippocampus","Amygdala",5.4724
"g6","Cortex","Thalamus",5.2444
"g7","Hippocampus","Cortex",11.4522
"g8","Hippocampus","Amygdala",7.0991
"g9","Amygdala","Thalamus",5.0052
"g10","Cortex","Thalamus",2.6444
"g11","Cortex","Thalamus",1.4821
"g12","Thalamus","Cortex",1.1079
"g13","Hippocampus","Amygdala",3.1734
"g14","Cortex","Thalamus",1.5289
"g15","Amygdala","Hippocampus",2.8443
"g16","Hippocampus","Cortex",1.8652
