"","g0","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16"
"Map2",8.33678724197111,5.09212125189142,6.52514667656234,5.13057610030751,2.61101849864135,7.23895835293254,6.41329121398178,7.16527665125888,6.68431149415824,5.84254628654877,1.85451522343588,6.43005339745599,0.960675869495815,4.17357484593291,8.84625743634994,8.67884212513233,2.55552016498668
"Ptprc",0.00388013791130344,0.00396203927305442,0.00141146009618818,0.0123983608220347,0.0105792790009775,0.00896405963642739,0,0.00168828515811635,0.0741380098722749,0.00672862383493878,0.0499332901392756,0.00794437665243034,5.09442506514097,0.00940084395405109,0.139962214343012,0.0776380159916177,0
"Ptgs2",0.00427953223233686,0.024834492789216,0.0384111387918895,0.0102344427994655,0.00462036109970139,0.00756460927889077,0,0.0400883959020085,0,0.0390381801197855,0.134993107995015,0.0812360902883275,0,0.0068270057230789,0,0,0
"Atf3",0.00102901662232291,0.00276305071745375,0.00194014610464256,0,0,0,0.0103702014392387,0,0,0,0.0160434327812253,0,0,0,0,0,0
"Vim",0.00536773403465604,0.00161288657665469,0,0,0,0.00954041725090527,0,0.00255487161642384,0.0628167692263646,0,0.863310988531982,0.00445702712724991,0,0,0,0,0.105450749227573
"Mrc1",0.00690211149394823,0,0.00152061073809685,0,0,0.00197696050230612,0,0.0018631956077772,0,0,0.0943436419397035,0,1.16117597175965,0,0.0689550652898807,0,0
"Serping1",0.0108974792444901,0,0,0.00250694172162719,0,0.00686448662290211,0.00907931513752883,0,0,0.0193085488821767,0.318996850569225,0.00361645864796524,0.0462695199537305,0.00709683417324366,0,0.0418739426829473,0.101758384890915
"Slc1a2",0.923443427279048,4.6138113056499,2.41213390784272,0.722651905093423,0.754616599864877,8.99329722221809,0.893645588643717,2.74242253552826,80.1793367210958,1.73552193068556,1.83737269712762,1.71615032632096,0.441159296344977,3.55096423394387,3.86657819968725,9.78745839480914,1.18528479012414
"P2ry12",0.0496366631146868,0.0816826322768564,0.0590852482181012,0.0726065578234971,0.0733638214481968,0.0606480705693345,0.0256378410751394,0.0472734369776465,0.278300080836439,0.114839458568336,0.0994187090880982,0.0352191315041492,12.5888116496052,0.0760155641423295,0.328305824610683,0.115111291041847,0.926969806926252
"Jun",0.0252639108049944,0.0224114024729795,0.0473188595207599,0.0132732704576217,0.0388453485721574,0.0304419403489949,0.00432588070605295,0.0309208214945314,0.0637398571653011,0.119070289135197,0.400580749494502,0.0524224749782072,0.0940847770116063,0.0816146609688276,0.11163817932801,0.0174454306927929,0.324307209716579
"Isg15",0.00422914523899746,0.00217687359156279,0.00517332447660183,0.00246636859780039,0,0,0,0.00317610047911476,0.0118452536068797,0,0.0872739943951084,0,0,0.00523182750873977,0,0,0
"Tmem119",0,0,0.00219568661755355,0.00264813817349436,0,0,0,0,0.0149491700600795,0.00588088617897654,0.00848002360838572,0,0.803128849200091,0,0,0.0170782655342899,0.0677029735145967
"Aldh1l1",0.0249644719751831,0.0482243058030793,0.026468200427153,0.0101838235435198,0.123326426621427,0.0422127684012909,0.0392170931137888,0.0561360184222877,1.77888292320892,0.00816441165616724,0.0187380661940926,0.0107333233510624,0.0781252428784162,0,0.0278371785014626,0.0454091927108399,0.168439889770037
"Apoe",0.0552010423405664,0.0436261172203592,0.0685468414998308,0.087561771285457,0.463719367797399,0.0632395656143742,0.0706843499578347,0.05503248832064,3.39056786961442,0.0919410141174455,0.920769565144367,0.0504252414619596,0.817742003827849,0.0589857355512491,0.685868446487266,0.358346480732459,1.8641114556837
"Tgfb1",0.00198412698412698,0.00203047994048257,0,0.0102241555396527,0.00930659795915613,0.00518892820451824,0,0,0.0244118355595368,0,0.0881367850623772,0,1.50503950038828,0,0.00963896300180441,0.0087851537929023,0
"Tyrobp",0,0.00242394273677679,0.00242784740979029,0.00068299638162177,0,0.00458396471703806,0.00452759934005712,0.00735061142364863,0,0.00863924914557826,0,0.00590318772136954,0.593821736985147,0,0,0.0087851537929023,0
"Bax",0.135373460254889,0.145640767975321,0.0987532838336936,0.0909253526496726,0.129714168963922,0.132247701900373,0.112037922751517,0.14963992694822,0.117506261838075,0.1329465678067,0.232152129833873,0.148561531752515,0.529329030883339,0.202866681293409,0.297445001167189,0.0471628517450683,0.313558047936803
"Itgam",0,0,0.00141146009618818,0.00314306772839495,0.0246974705401625,0.00214585367423795,0.00345788640151594,0,0.0153007186903874,0,0.0143474904804401,0.00287454122322077,4.64275693500272,0.00607530461577343,0.0991525801237773,0.0165862234827752,0.0677029735145967
"Casp3",0.118289762559907,0.060711940994865,0.0538469354192019,0.0169454194555747,0.0742994197431215,0.015477476585568,0.107602584306708,0.0406322735720238,0.187885395650521,0.0429211339854424,0.0832190514489631,0.0161412234818239,0.0934897713404585,0.0487232473951859,0.200437943618542,0.202142741165234,0
"Tubb3",0.467712069799763,0.360379655946488,0.446148854921547,0.417786079501173,0.33887940354832,0.253781183402209,0.480980466989889,0.456985245769132,0.157141123897458,0.106405746137805,0.0222053461591413,0.293393120243689,0.0189888440541182,0.594316497702043,0.19688755189315,0.418424017863812,0
"Casp1",0.00988757471937872,0.0096763915994674,0.0160960480839377,0,0,0,0.00438726184845871,0,0,0,0.012754125959748,0,0.157867231051392,0,0,0,0
"Bace1",0.277348460508509,0.192890722065347,0.200830326716774,0.179410997654349,1.0171091579575,0.253739993974105,0.298339137064067,0.24157186349922,0.336848126572963,0.268793379034824,0.263718246159607,0.280187859177541,0.329751285580372,0.217058244603832,0.289636468315767,0.135836297633567,0.277795189407804
