"","Cortex","Hippocampus","Striatum","Thalamus","Hypothalamus","Cerebellum","Amygdala","Olfactory bulb","Brainstem"
"g0",1.1246,4.2289,0.1484,0.7761,0.0135,0.031,2.4953,0.0142,0.0035
"g1",6.6634,8.3144,0.0205,0.2996,0.0062,0,0.0697,0,9e-04
"g2",2.2856,7.078,0.0412,0.3065,0.0017,0,0.1968,0,0.0011
"g3",0.9638,7.3989,1.4132,0.2182,0.0018,0,3.4301,0.0018,9e-04
"g4",0.5693,1.1292,0.028,0.2694,0.0078,0,0.128,0.0211,0
"g5",1.4049,7.3452,0.0429,0.2507,0,0.0037,3.6527,0.0013,0.0032
"g6",0.6091,6.4456,0.0698,0.0806,0.0047,0,0.1642,0,0.006
"g7",2.2298,7.3378,0.0443,0.2352,0.0015,0,0.1886,0.0011,0.0018
"g8",6.4085,1.0739,0.0408,1.6185,0,0,0.3004,0.0025,0.006
"g9",0.3204,14.878,0.0265,0.1966,0,0,0.0608,0.0025,0.0111
"g10",1.2341,0.7264,0.0929,0.9762,0,0,2.1823,0,0
"g11",0.6599,14.9713,0.0355,0.1499,0,0,0.1702,0.0027,0
"g12",2.14,0.7406,0.0645,2.2031,0.0166,0,0.0961,0,0
"g13",3.0281,8.1769,0.0335,3.402,0,0,2.3077,0,0.0025
"g14",1.3848,0.589,0.0181,1.2838,0,0.006,0.5632,0,0.0105
"g15",2.6454,5.3014,0.0984,0.4715,0,0,2.4631,0,0
"g16",1.0882,0.2072,0.1387,0.6628,0,0,0.8245,0,0
