"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2"
"Usp29",0.874,1.18988428295587,0.748,2.25033534675037,0.942,0.488
"Meg3",0.852,0.719222069523858,0.704,1.05276077005766,1,0.904
"Snhg11",0.838,0.644108126381065,0.676,0.96823258737068,0.998,0.811
"Dpp6",0.822,0.882282524511033,0.644,1.37719271109755,0.996,0.735
"Nhs",0.8,0.946334300281547,0.6,2.29621529184935,0.763,0.208
"Lhfpl3",0.797,0.697170382242066,0.594,1.16242650688275,0.884,0.492
"Snhg14",0.784,0.55563219275932,0.568,0.880556613492404,0.991,0.758
"5330434G04Rik",0.775,0.65399770124495,0.55,1.27916927169682,0.893,0.555
"Grip1",0.77,0.495712552721532,0.54,0.781072088124668,0.953,0.674
"Rian",0.768,0.573992686113743,0.536,0.93868928473474,0.991,0.722
"C130073E24Rik",0.763,1.15914364499829,0.526,2.69298027494589,0.654,0.165
"Snrpn",0.763,0.702110122548913,0.526,1.77033874793113,0.763,0.339
"Galnt13",0.761,0.729430680200486,0.522,1.2341229082267,0.946,0.666
"Cep112",0.76,1.01924625361776,0.52,2.05119201631364,0.743,0.366
"Grb10",0.759,0.600575358089741,0.518,1.44488941287859,0.797,0.403
"Cdh18",0.75,0.840505203410478,0.5,1.34469493390535,0.893,0.574
"A230006K03Rik",0.749,0.621823714636873,0.498,1.08176326318487,0.922,0.574
"Dscam",0.747,0.519621129785375,0.494,0.828501926589485,0.942,0.673
"Xkr6",0.746,0.562638549311951,0.492,1.06855750772848,0.917,0.58
"Rit2",0.745,0.644808512674353,0.49,1.23073190999937,0.902,0.601
"Vat1l",0.745,0.748056274309971,0.49,2.32559309086006,0.609,0.153
"Kcnip1",0.744,0.939170348810495,0.488,2.18133297653301,0.634,0.147
"A230057D06Rik",0.744,0.544949537469164,0.488,0.902522998426531,0.971,0.769
"Rmst",0.743,1.24138330463872,0.486,2.40212815599413,0.643,0.204
"Rbms3",0.743,0.876406240542903,0.486,1.49494275530471,0.857,0.518
"Agbl4",0.743,0.554454752315801,0.486,0.890315777633522,0.962,0.703
"Cntnap2",0.742,0.642294630375817,0.484,0.951194244591469,0.993,0.803
"Cdr1os",0.741,0.500662351121202,0.482,0.816485565232147,0.982,0.744
"B830012L14Rik",0.74,0.564619585421513,0.48,1.15197533874351,0.875,0.571
"Ank1",0.74,0.625610053565885,0.48,1.87840710307066,0.665,0.243
"Camk2d",0.737,0.564089638609422,0.474,1.0703804141634,0.875,0.465
"C530008M17Rik",0.736,0.602140321426082,0.472,1.37812356958601,0.788,0.398
"Inpp4b",0.735,0.820568523223711,0.47,1.38397563003143,0.821,0.442
"A330076H08Rik",0.735,0.552506702962194,0.47,1.1175276699976,0.888,0.602
"Dner",0.728,0.613171001293246,0.456,1.32391625355427,0.766,0.363
"Ttc3",0.726,0.433565597583336,0.452,0.710249404790579,0.998,0.833
"Ahi1",0.726,0.578969805793821,0.452,1.00968192739857,0.944,0.721
"Galntl6",0.726,0.691604529111524,0.452,1.05242416671423,0.908,0.577
"Grid2",0.724,0.743123700471898,0.448,1.13677940880899,0.931,0.81
"Syn3",0.722,0.530213489419891,0.444,1.06661838795215,0.864,0.529
"Nova1",0.72,0.625654467140333,0.44,1.35103482322258,0.775,0.471
"Cacna2d2",0.719,0.650099699038536,0.438,2.35045742958452,0.556,0.138
"Tenm1",0.718,0.690937985999214,0.436,1.16018266562246,0.879,0.619
"Slc8a3",0.716,0.520971357140804,0.432,1.11444666978777,0.824,0.459
"Zfhx3",0.716,0.859980489918361,0.432,1.57258054847048,0.665,0.275
"Camta1",0.715,0.478360433164719,0.43,0.812393795825732,0.971,0.779
"Gnas",0.715,0.550207128331715,0.43,1.21528356894652,0.761,0.457
"Tro",0.714,0.50975325894481,0.428,1.55000544281893,0.681,0.328
"Frmd4a",0.714,0.344197227536783,0.428,0.527579545163027,0.996,0.857
"Ankrd55",0.713,0.648291576480596,0.426,2.97123049509515,0.496,0.076
"Fam155a",0.712,0.511338014493698,0.424,0.761925218308131,0.998,0.794
"Peg3",0.712,0.47552358836102,0.424,0.97926433111514,0.844,0.564
"Gap43",0.711,0.555789284912723,0.422,1.50634383357119,0.679,0.337
