"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Usp29",2.00260999339401e-164,2.25033534675037,0.942,0.488,4.22490630306334e-160,"0","Usp29"
"Nhs",2.6210996964507e-158,2.29621529184935,0.763,0.208,5.52973402960204e-154,"0","Nhs"
"Baiap3",2.94111348033186e-157,4.00860503563675,0.297,0.017,6.20486710945613e-153,"0","Baiap3"
"Ankrd55",1.29858521724884e-151,2.97123049509515,0.496,0.076,2.73962523282989e-147,"0","Ankrd55"
"C130073E24Rik",4.18878668628936e-142,2.69298027494589,0.654,0.165,8.83708327206466e-138,"0","C130073E24Rik"
"Meg3",1.51002637750077e-131,1.05276077005766,1,0.904,3.18570264861338e-127,"0","Meg3"
"Vat1l",3.69891133353983e-131,2.32559309086006,0.609,0.153,7.80359324036899e-127,"0","Vat1l"
"Kcnip1",5.58826996458288e-131,2.18133297653301,0.634,0.147,1.17895731442805e-126,"0","Kcnip1"
"Snhg11",3.05727644301209e-122,0.96823258737068,0.998,0.811,6.44993611182261e-118,"0","Snhg11"
"Cacna2d2",4.5736252916494e-113,2.35045742958452,0.556,0.138,9.64897727779275e-109,"0","Cacna2d2"
"Dpp6",2.74916875968027e-112,1.37719271109755,0.996,0.735,5.79992133229746e-108,"0","Dpp6"
"Rmst",3.05976998499343e-109,2.40212815599413,0.643,0.204,6.45519673734064e-105,"0","Rmst"
"6330411D24Rik",1.02655139313331e-108,2.70806724318032,0.388,0.064,2.16571547409334e-104,"0","6330411D24Rik"
"Insyn2b",1.20286761440432e-107,3.25821694124768,0.317,0.04,2.5376898061088e-103,"0","Insyn2b"
"Lhfpl3",1.07631818802661e-104,1.16242650688275,0.884,0.492,2.27070848127974e-100,"0","Lhfpl3"
"Scn9a",1.0520635640617e-103,2.82474179128145,0.46,0.104,2.21953850110098e-99,"0","Scn9a"
"Btbd11",6.94206151102418e-102,1.74109052435536,0.531,0.123,1.46456671698077e-97,"0","Btbd11"
"Gm45323",3.88924842583165e-100,2.76807948230624,0.411,0.08,8.20514740397703e-96,"0","Gm45323"
"Tmem255a",5.18385193134295e-100,2.91607486403786,0.321,0.046,1.09363724195542e-95,"0","Tmem255a"
"Ank1",7.57170495486154e-97,1.87840710307066,0.665,0.243,1.59740259432714e-92,"0","Ank1"
"Snrpn",1.88171883126123e-96,1.77033874793113,0.763,0.339,3.96986221831181e-92,"0","Snrpn"
"Cep112",6.77661675566461e-92,2.05119201631364,0.743,0.366,1.42966283694256e-87,"0","Cep112"
"Gm45341",4.25422103655043e-90,2.71307056677163,0.342,0.059,8.97513012081044e-86,"0","Gm45341"
"Snhg14",3.27146036083438e-87,0.880556613492404,0.991,0.758,6.90179992325229e-83,"0","Snhg14"
"5330434G04Rik",5.79412656934581e-87,1.27916927169682,0.893,0.555,1.22238688233488e-82,"0","5330434G04Rik"
"Grb10",1.36474218306951e-86,1.44488941287859,0.797,0.403,2.87919658362174e-82,"0","Grb10"
"Prlr",1.81114671153234e-84,2.82415689227615,0.252,0.032,3.82097621731978e-80,"0","Prlr"
"Grip1",3.45065049781552e-80,0.781072088124668,0.953,0.674,7.27983735524139e-76,"0","Grip1"
"Rian",4.06289947041675e-78,0.93868928473474,0.991,0.722,8.57149901273823e-74,"0","Rian"
"Tmem91",6.52088703616282e-77,2.2918889839147,0.406,0.103,1.37571153801927e-72,"0","Tmem91"
"Alk",1.37372777543149e-76,1.74242587632101,0.54,0.169,2.89815348782781e-72,"0","Alk"
"Grin3a",1.14193831336382e-75,1.40838293039217,0.607,0.211,2.40914725970364e-71,"0","Grin3a"
"Galnt13",2.88008632150723e-75,1.2341229082267,0.946,0.666,6.07611811248379e-71,"0","Galnt13"
"Zfhx3",7.60072812283237e-74,1.57258054847048,0.665,0.275,1.60352561207394e-69,"0","Zfhx3"
"C530008M17Rik",8.66318830444452e-73,1.37812356958601,0.788,0.398,1.82767283658866e-68,"0","C530008M17Rik"
"Cdh18",1.85875571853154e-71,1.34469493390535,0.893,0.574,3.92141693938599e-67,"0","Cdh18"
"A230006K03Rik",6.20982364899446e-71,1.08176326318487,0.922,0.574,1.31008649522836e-66,"0","A230006K03Rik"
"Dner",9.1396146535107e-71,1.32391625355427,0.766,0.363,1.92818450345115e-66,"0","Dner"
"A530058N18Rik",2.13273650340719e-70,2.2879529281728,0.317,0.064,4.49943420123815e-66,"0","A530058N18Rik"
"Dpysl5",2.89491497066706e-70,1.93735277976567,0.46,0.137,6.1074021136163e-66,"0","Dpysl5"
"Rbms3",4.79020414638052e-70,1.49494275530471,0.857,0.518,1.0105893687619e-65,"0","Rbms3"
"Xkr6",1.98663784035002e-69,1.06855750772848,0.917,0.58,4.19120985178644e-65,"0","Xkr6"
"Inpp4b",3.02600971942734e-69,1.38397563003143,0.821,0.442,6.38397270507585e-65,"0","Inpp4b"
"Gad2",4.62425057813417e-69,1.71472579772124,0.52,0.171,9.75578144468965e-65,"0","Gad2"
"Camk2d",7.72941367288342e-69,1.0703804141634,0.875,0.465,1.63067440256822e-64,"0","Camk2d"
"Rit2",2.4465450882603e-68,1.23073190999937,0.902,0.601,5.16147617270274e-64,"0","Rit2"
"Dscam",1.92023086443478e-67,0.828501926589485,0.942,0.673,4.05111105469805e-63,"0","Dscam"
"Dgkk",5.2012315606191e-67,5.30988875379864,0.114,0.005,1.09730382234381e-62,"0","Dgkk"
"Ankfn1",6.27053628949277e-67,2.50374869427246,0.402,0.112,1.32289504099429e-62,"0","Ankfn1"
"Kif26b",1.1394432990168e-66,1.81084345777464,0.623,0.275,2.40388352793575e-62,"0","Kif26b"
"Tro",1.87381898490862e-66,1.55000544281893,0.681,0.328,3.95319591246171e-62,"0","Tro"
"B830012L14Rik",3.34613698224042e-66,1.15197533874351,0.875,0.571,7.05934519143262e-62,"0","B830012L14Rik"
"Ece2",5.80475844841725e-66,1.90360333960414,0.455,0.146,1.22462988986259e-61,"0","Ece2"
"Lncenc1",7.96094346788927e-66,4.6935681572563,0.118,0.006,1.6795202434206e-61,"0","Lncenc1"
"Agbl4",4.39599794392112e-65,0.890315777633522,0.962,0.703,9.27423686229039e-61,"0","Agbl4"
"A230057D06Rik",5.94615717620886e-65,0.902522998426531,0.971,0.769,1.25446077946478e-60,"0","A230057D06Rik"
"Gap43",9.92762107618782e-64,1.50634383357119,0.679,0.337,2.09443021844334e-59,"0","Gap43"
"Cntnap2",1.02219442199612e-63,0.951194244591469,0.993,0.803,2.15652357208522e-59,"0","Cntnap2"
"Arhgap24",1.42338580560805e-63,1.78961048821073,0.438,0.132,3.00291703409131e-59,"0","Arhgap24"
"Cdr1os",2.05808980284306e-63,0.816485565232147,0.982,0.744,4.34195205705801e-59,"0","Cdr1os"
"A330076H08Rik",5.00781542092579e-63,1.1175276699976,0.888,0.602,1.05649881935271e-58,"0","A330076H08Rik"
"Tacr1",1.91643821819317e-60,3.66870954619134,0.176,0.022,4.04310970892214e-56,"0","Tacr1"
"Tmem130",3.38733934649731e-60,1.83625550503851,0.516,0.205,7.14626981930537e-56,"0","Tmem130"
"Zfp618",4.66474904720839e-60,1.82562176974747,0.46,0.16,9.84122106489555e-56,"0","Zfp618"
"Nova1",1.69480928284693e-59,1.35103482322258,0.775,0.471,3.57553914402216e-55,"0","Nova1"
"Tox2",3.44018760042567e-59,1.61048143554266,0.444,0.142,7.25776378061803e-55,"0","Tox2"
"Galntl6",6.71181033449385e-59,1.05242416671423,0.908,0.577,1.41599062626817e-54,"0","Galntl6"
"Ubap1l",1.15508265413718e-58,2.44591845175768,0.259,0.052,2.43687787543321e-54,"0","Ubap1l"
"Gnas",5.24222424502889e-58,1.21528356894652,0.761,0.457,1.10595204897374e-53,"0","Gnas"
"Syn3",5.46596501395599e-58,1.06661838795215,0.864,0.529,1.15315463899429e-53,"0","Syn3"
"Pld5",5.8163152017443e-58,1.95823342036375,0.498,0.182,1.227068018112e-53,"0","Pld5"
"Slc8a3",7.80712325996808e-58,1.11444666978777,0.824,0.459,1.64706879415547e-53,"0","Slc8a3"
"Glra1",2.02983712905854e-57,3.68190779578455,0.145,0.014,4.2823473911748e-53,"0","Glra1"
"Ahi1",1.69877270062977e-56,1.00968192739857,0.944,0.721,3.58390076651863e-52,"0","Ahi1"
"Cntnap4",1.92807149694375e-56,1.29896186254203,0.603,0.258,4.06765243710223e-52,"0","Cntnap4"
"St8sia6",3.29514191170895e-56,2.48408981484109,0.199,0.031,6.95176089113236e-52,"0","St8sia6"
"Nxph1",8.6456620640078e-56,0.833834292728243,0.598,0.239,1.82397532564372e-51,"0","Nxph1"
"Ttc3",2.00168465202592e-55,0.710249404790579,0.998,0.833,4.22295411037909e-51,"0","Ttc3"
"Tcerg1l",2.36773068229753e-55,2.13459495809366,0.355,0.101,4.99520142044309e-51,"0","Tcerg1l"
"Arhgap18",2.56250942376949e-55,1.46916645151306,0.58,0.257,5.40612613132648e-51,"0","Arhgap18"
